User,arroba,hora de publicación,publicación
Brenda Caballero,@BrendaC92067594,15:32,"""#EsClaudiaPresidentaDeMéxico #EleccionesMéxico2024 #YaVoté Vamos por Morena!! A Ganar 🥰😉♥️"""
El Tapatío Agrio 🇲🇽,@AgrioTapatio,15:32,"""CHTPM Morena #EleccionesMéxico2024 #YoVotéPorXochitl #XóchitlGálvezPresidenta #YaSeVanHDSPM #"""
Mendoza Raziel🤠,@__RazielMendoza,15:31,"""Hace 6 años fueron mis primeras elecciones & ahora 6 años después... a seguí apoyando la #CuartaTransformación 👌🏼 #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Libertario Morelos,@Antonio58808325,15:31,"""#YoVotéPorXóchitl #XóchitlGálvezPresidenta #NarcoPresidenteAMLO80 #EleccionesMéxico2024 ALV MORENA"""
Ricardo Ojeda Ramírez 🏈 ✈️🎮 🚘 🐱 🇲🇽🇲🇽🇲🇽,@richarko,15:31,"""Ya ejerci mi derecho #EleccionesMéxico2024 #YoVotéPorXóchitl"""
♓⭐🍒 Bárbariux  🍒⭐❤&💫,@Vivalyk,15:29,"""#EleccionesMéxico2024 #XochitlGálvezPresidentadeMexico 🫰🏻🫰🏻🫰🏻 En este hogar ya cumplimos con el deber. 🤗🫰🏻🙏🏻"""
Alix Yuliana,@AlixYuliana8,15:27,"""Esto es un #fraude 4 horas haciendo fila en el consulado y solo dejan pasar personas de 60+ a votar porque saben que son los únicos que votan por la mierda de morena #fueramorena #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
tesfaye,@smelissatv,15:26,"""#EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Iván M.,@NavimoOfoO,15:26,"""Ya vote #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico #ClaudiaPresidentaDeMéxico2024 😀"""
Hiram Mendoza,@JHMendozza,15:24,"""Yo si cumplí #EleccionesMéxico2024 #XochitlGálvezPresidente24"""
julio olivares,@valceasr,15:23,"""#EleccionesMéxico2024 listo a darle continuidad a la 4t de @lopezobrador_ a seguir haciendo historia con @ClaraBrugadaM y @Claudiashein"""
Ricardito,@RicarditoAnaya,15:22,"""Mi voto fue por Xóchitl Gálvez #XochitlGálvezPresidenta #EleccionesMéxico2024"""
Iñaki Levy,@ElPoderdelaInfo,15:22,"""¡LISTO! Vota Todo Morena 😏👍 Ahora sí, vamos por el Plan C, desde el PREP se verá el avasallador Triunfo de #ClaudiaPresidentaDeMéxico ¡Viva MÉXICO! 🇲🇽 Y VIVA el segundo piso de la 4ta Transformación 👏😃 #EleccionesMéxico2024"""
David Contreras,@daco_eli,15:21,"""#EsClaudiaPresidentaDeMéxico #EleccionesMéxico2024"""
Antigansoganso,@antigansoganso,15:21,"""Adiós a Todo Morena #CHASPM #EleccionesMéxico2024 #CuentenleBien #CuentenleBien #XóchitlGálvezPresidenta"""
Felipe Sahuaya,@FSahuay,15:21,"""#EleccionesMéxico2024 #XoxhitlGálvezPresidente2024 #Fueramorena"""
Alondra Álvarez,@alvarez_al98,15:20,"""#EleccionesMéxico2024 #VotoPorMéxico #XóchitlGálvezPresidenta"""
Fernando,@Fernand06932502,15:19,"""#Plan_C va #EleccionesMéxico2024 #Ya_Gano_Claudia"""
Federico Steck,@Fedsteck,15:19,"""Amor con amor se paga. #EleccionesMéxico2024 @Claudiashein #ClaudiaArrasará #ClaudiaPresidentaDeMéxico"""
Sir Blacksea 🇲🇽,@blacksea777,15:19,"""LISTO!!! #XochitlGálvezPresidenta24 #EleccionesMéxico2024 #YoYaVotéPorXochitl"""
Miguel Blanco,@Lord_Blanco,15:18,"""Llevaba 6 años esperando el 02 de Junio. @Pepe_Yunes Gobernador de #Veracruz #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Ramón Alvarez 🇲🇽,@ReymonflowMusic,15:17,"""Debido a que ningún candidato en la contienda presidencial representa mis valores y principios, e decidido votar por @EVerastegui como candidato no registrado, pues el único que representa mis valores, principios e ideales políticos. #YaVoté #EleccionesMéxico2024"""
Samuel Sta Rosa S.,@SAMUELSTARSZ,15:14,"""Replying to @catrina_nortena and @Claudiashein #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico"""
La Santa 💙,@FatimaXCid,15:14,"""México libre y para los mexicanos 🇲🇽#XochitlGálvezPresidenta24 #YoVotarePorXóchitl #EleccionesMéxico2024"""
Fachito,@der_yveltal,15:14,"""Ya cumplí con mis obligaciones de joto panista. Votar al PAN tiene doble efecto: Mandar al carajo a MORENA y hacer berrear a los maricones. #EleccionesMéxico2024"""
Cams,@cams_87,15:13,"""Hoy digo con todo orgullo, vote por Morena. En 2018 voté con incertidumbre, hoy con toda la confianza, gracias Presidente @lopezobrador_ Carro completo para Morena, se necesitan las reformas a la SCJN, quitar los plurinominales y dinero a los partidos."""
