User,arroba,hora de publicación,publicación
Lorena Barba,@LorenaBarbaG,19:57,"""Los ganadores: 2 presidentas del País 2 gobernadores por Estado etc.. que risa 🤣 se auto proclaman y aún no hay primer conteo 🤦🏻‍♀️ @Xochitl2024 @Claudiashein #EleccionesMéxico2024 @INEMexico"""
Brisa Reyes,@reygarb2006,19:57,"""#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 Ya ganamos, México tiene a la primera PRESIDENTA de México."""
ABCD NOTICIAS OFICIAL,@NoticiasAbcd,19:55,"""#ÚLTIMAHORA #AlMomento | Primeros resultados del PREP con corte a las 20:00 horas (hora de la #CDMX). Sigue en este hilo 🧵 las actualizaciones. ⬇️ #ABCDNoticias #EleccionesMéxico2024 #Elecciones2024MX"""
𝕏arli Rubio,@CapXarli,19:59,"""Cálmense...a penas van el 0.6% de las actas computadas. La noche es larga. #EleccionesMéxico2024 #prep #EleccionesMéxico2024 #ElecciónPresidencial #EleccionesMéxico"""
Jhonatan J. de los Santos,@delossantosuy,19:59,"""México hace historia. Felicitaciones Presidenta electa, Dra. @Claudiashein por la aplastante victoria. 🇲🇽✊🏻🇺🇾 México nos da un gran ejemplo y nos ilusiona. #EsClaudiaPresidentaDeMéxico #EleccionesMéxico2024"""
Oscar Peñaloza Pérez,@OscarPenaloza26,19:59,"""Se sigue haciendo Historia, la primera Presidenta de México y la primera mujer en América del Norte. 🇲🇽🗳️✅ #ClaudiaPresidentaDeMexico #EleccionesMéxico2024"""
Noticias Gdl,@NoticiasGdl_Mx,19:59,"""🗳️#Urna2024: Juan José Frangie, candidato de Movimiento Ciudadano a Zapopan, informa que los resultados le favorecen y “que ya ganó las elecciones” #EleccionesMéxico2024 #Elecciones2024Mx"""
Diógenes,@lamparadiogenes,19:59,"""20:25: PREP… #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Síntesis Puebla,@sintesisweb,19:59,"""🗳️Así va hasta el momento el PREP en Puebla. #EleccionesMéxico2024"""
Jj,@jjemptysoul,19:59,"""A las 8:28pm #ClaudiaSheinbaum acaba de rebasar el 60% de los votos. #XochitlGalvez pasa a 28.33%. #Maynez llega a 8.7% según el #PREP #EleccionesMéxico2024"""
Político MX,@politicomx,19:59,"""#EleccionesMéxico2024 | “¡Queremos votar, queremos votar!, grita la ciudadana con lágrimas. Una joven expresó con llantos y gritos su malestar por el cierre de una casilla especial en Avenida México, en la @Alcaldia_Coy de la Ciudad de México."""
OLYS👋TUS👁️👁️ TU👀 Y ESOS💋 QUE 🤔🙈🥰🤫,@OlysPM,19:59,"""Ejerciendo mi Derecho Civil, y un gran ORGULLO que una MUJER sea una PRESIDENTA DE MEXICO, porque se ha luchado y ya es hora que me toque ver esta gran alegría y orgullo. #EleccionesMéxico2024"""
Susana Briseño,@briseno_su89292,19:59,"""Todos ganamos en la Benito Juárez. #EleccionesMéxico2024 @LuisMendozaBJ es nuestro alcalde y hoy Benito Juárez seguirá como ejemplo de la mejor y más segura alcaldía del país. @LetyVarela quedó 🤡🤡 ya se va con su partido de 4ta. #EleccionesMéxico2024 #cdmx"""
Fenómenos,@fenomenosmex,19:59,"""#EleccionesMéxico2024 Con corte de las 20:20 horas, aventaja Alejandro Armenta de Morena-PT-Verde-PANAL-FuerzaMéxicoPuebla rumbo a la gubernatura de Puebla. Sigue la cobertura del PREP en https://fenomenos.com.mx/prep2024"""
Enfoque Noticias,@EnfoqueNoticias,19:59,"""🇺🇸🇲🇽 | Miles de mexicanos se quedan sin poder votar en Estados Unidos #EleccionesMéxico2024 https://enfoquenoticias.com.mx/miles-de-mexic"""
𒆜David Ơjeda𒆜,@SoyDavidOjeda,19:59,"""Corte 8:30 PM #ine #prep #MEXICO #EleccionesMéxico2024 #presidencia Image"""
Ruido en la Red,@RuidoEnLaRed,19:59,"""#EleccionesMéxico2024 I El @INEMexico informó que 23 casillas no se instalaron y 29 fueron suspendidas."""
Ramírez,@decread,19:59,"""Creo que al amigo de todos que está dentro del equipo de @Claudiashein, le vio la cara a todos, porque les hizo creer que iban a ganar. Qué hermoso ver llorar a todos esos que se reían del pueblo. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Soyla Coroy🍂,@soylacoroy,19:59,"""Ni en coalición pudieron 🤣 Aún así Sheinbaum le está dando la vuelta, ante ustedes la primera mujer presidente de México 🎉 #EleccionesMéxico2024"""
Cesar,@c3_sarr,19:59,"""Esos que hacen trend el #YoVotéPorXóchitl mejor ahora hagan trend el #yavaliobertha !!!! 😂😂😂😂😂😂😂😂 #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico #XóchitlGálvezPresidenta #YaVoté"""
Martín J. Garache R.,@MartinGarache,19:59,"""Replying to @soyfdelrincon #EleccionesMéxico2024 con el 0.46% escrutado Claudia Sheinbaum - 59% Xóchitl Gálvez - 29% Jorge Álvarez Máynez - 8%"""
IGAVIM ObsCiudadano,@IGAVIM,19:58,"""#EleccionesMéxico2024 Así inicia el programa de resultados electorales preliminares en #Puebla esto representa apenas el 0.0119% del total @Puebla_IEE"""
Lalo Banda,@ElLaloBanda,19:58,"""Así el #PREP en su actualización a las 20:20 h ¡Ojo! Que aunque a las candidatas ya las hayan declarado ganadoras, no va ni el 1% de las #ActasCapturadas #EleccionesMéxico2024"""
André Magno,@AndreMagnoSoy,19:58,"""Replying to @MiguelA81067910 Para llorar la señora que seguramente apoyaste. Bendiciones. #EleccionesMéxico2024"""
Ecuador En Directo,@EcEnDirecto,19:58,"""#ATENCIÓN #EleccionesMéxico2024, A esta hora estos son los resultados preliminares del @INEMexico en el proceso conocido como el PREP en torno a la presidencia de México. La candidata Claudia Sheinbaum del partido @PartidoMorenaMx lidera las encuestas."""
Panda del Amor.,@PandaDelAmor16,19:58,"""Veracruz es guinda ('guindo' para algunos provincianos norteños) según el inicio del PREP. #EleccionesMéxico2024"""
La Jornada Estado de México,@JornadaEdomex,19:58,"""#EleccionesEdomex2024 🔴 #PREPAtizapándeZaragoza 2024: Consulta aquí quién va ganando la elección a alcalde https://lajornadaestadodemexico.com/prep-2024-asi-va-el-conteo-en-atizapan-de-zaragoza/ #EleccionesMx2024 #EleccionesMéxico2024 #EleccionesEdomex #EleccionesEdomex2024 #EleccionesMéxico"""
Señor Lampi,@lampiedro,19:58,"""ya que se acabe la ley seca #EleccionesMéxico2024"""
cahotiyermadi 🇩🇰,@cahotiyermadi,19:57,"""Replying to @cahotiyermadi #EleccionesMéxico2024 #YoVotéPorXóchitl"""
mario,@visitantedetodo,19:57,"""Vamos ganando! @Claudiashein @lopezobrador_ @ClaraBrugadaM #YaVoté #claudia #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico"""
Contextus México,@ContextusM,19:57,"""#EleccionesMéxico2024 A las 20:31"""
Fer Moctezuma Ojeda ☕🎙️📰,@FerMoctezumaO,19:57,"""#AHORA: Empiezan a reportar resultados de las elecciones a la gubernatura de Guanajuato, dando ventaja a la candidata de 'Fuerza y Corazón por México' #EleccionesMéxico2024"""
AMEXI,@Amexi_noticias,19:57,"""#Elecciones 🗳️ | #XóchitlGálvez, candidata presidencial de la coalición #FuerzayCorazónporMéxico, dijo que 'está claro que ya ganamos'. 👉https://lc.cx/tAalpm #EleccionesMX2024 #EleccionesMéxico2024 #Amexinoticias"""
Haggi (חַגִּ֖י) Tlahuisca,@HTlahuisca,19:56,"""1207 actas y la calca lleva la delantera. Pero esto todavía no define nada. #EleccionesMéxico2024"""
Helisut Córdova,@HelisutCordova,19:56,"""Alejandro Armenta @armentapuebla_ aventaja las elecciones de #Puebla de acuerdo a los primeros resultados del PREP #EleccionesMéxico2024 Y en la Presidencia de la República, Claudia Sheinbaum lleva la delantera Conteo Rápido"""
