User,arroba,hora de publicación,publicación
Tiempo Real,@_Tiempo_Real,18:55,"""#EleccionesMéxico2024 #EleccionesMéxico @STaboadaMx, candidato a la Jefatura de Gobierno de la CDMX, igualmente aseguró que ganó la elección y que tiene 5 puntos de ventaja."""
Alejandro Mendoza,@AlejandroMnz3,18:59,"""La alcaldía Benito Juárez ya tiene alcalde ✅✅❗️❗️ Hoy la bj hace historia por la gran desicion que tomaron al votar. #EleccionesMéxico2024 felicidades alcaldía bj, continuamos con un buen gobierno."""
MarceloSi,@MarceloE2024,18:59,"""Según proyecciones en encuestas de salida @Claudiashein será la primera Presidenta de México 🇲🇽 #SigamosHaciendoHistoria #EleccionesMéxico2024"""
LatinAmericaReporter,@SandraAWeiss,18:59,"""#EleccionesMéxico2024 gran participación y civismo de l@s mexican@s defendiendo su derecho al voto. Y luego, el penoso espectáculo de l@s politic@s declarandose ganadores sin resultados. 😟"""
𝙴𝙻 𝙼𝙸𝙻𝙸𝚃𝙰𝙽𝚃𝙴,@lj_abarca,18:59,"""Nmás (Televisa), con base en su información estadística, proyecta a Claudia Sheinbaum como la ganadora. #EleccionesMéxico2024"""
sweet,@breakupsweet,18:59,"""Claudia Ya Ganó‼️ #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
NMás,@nmas,18:57,"""Son las 7 de la noche tiempo del centro del país. En este momento N+ proyecta que Claudia Sheinbaum será la próxima presidenta de la República. La información estadística con la que contamos señala que las preferencias electorales favorecen a la candidata de la coalición 'Sigamos Haciendo Historia'. Sigue cada detalle de los Resultados de la jornada electoral https://nmas.com.mx/nacional/politica/resultados-elecciones-2024/ | #EleccionesMx2024"""
Crackzul,@Crackzul,18:57,"""Gane quien gane, ojalá sea la indicada para México y que en verdad haga algo por el país. Los delincuentes no pueden tener más derechos que los ciudadanos trabajadores. #EleccionesMéxico2024"""
Carlos Montero,@CMonteroOficial,18:57,"""#Ahora @Televisa proyecta que @Claudiashein ganó #EleccionesMéxico2024 🇲🇽🗳️"""
Homesick Alien 👽🛸,@hmesickalien,18:57,"""Vamossss #XochitlGálvezPresidentadeMexico #EleccionesMéxico2024"""
