User,arroba,hora de publicación,publicación
Tuñon Guerrero Fernando, @tuñonguerrerof, 22:15, """Xóchitl está bien"""
Sergio, @sergio, 22:37, """xochilt está escondida en su ratonera"""
Tuñon Guerrero Fernando, @tuñonguerrerof, 22:21, """bueno es igual que el Peña"""
Roberto Franco, @robertofranco, 22:48, """este no sabe lo que dice ya no porque le dieron en la torre a toda la fauna y ecosistema con su porquería de tren maya 😛"""
Guadalupe, @guadalupe, 22:55, """va a ganar Claudia"""
John Wiston, @johnwiston, 22:19, """k salga la Xóchitl a dar la cara y a bailar como payasita"""
Roberto Franco, @robertofranco, 22:42, """ni modo va a gobernar una lagartija 🦎"""
Tuñon Guerrero Fernando, @tuñonguerrerof, 22:36, """yo digo que Xóchitl regrese a donde vino"""
Maria de Lourdes Cuellar Vazquez, @mariadelourdescv, 22:29, """Claudia gana, a Dios Xóchitl"""
Sergio, @sergio, 22:53, """gano la más CHINGONA o sea Claudia 🥳"""
Roberto Franco, @robertofranco, 22:40, """pues que les digo que están igual de nefastos e ignorantes que el gobierno actual 😃😅"""
Mario Valencia, @mariovalencia, 22:46, """ganó la que tiene mejor respaldo y claridad de un mejor liderazgo"""
Guadalupe, @guadalupe, 22:33, """aja ya di Roberto que eres ardido Claudia presidente, chochil en su casa"""
Gerardo Lozano, @gerardolozano, 22:51, """Roberto ni tu madre te quiere, me lo dijo ayer después de tremendo parchadón"""
Guillermo Canek, @guillermocanek, 22:14, """cómo va la CDMX"""
JuanMa Morales, @juanmamorales, 22:57, """TODO MENOS MORENA"""
Fátima SC, @fatimasc, 22:44, """Fuera Morena 😘"""
Enrique Aldana, @enriquealdana, 22:32, """que ya salga Viri Ríos"""
Yael Muisc, @yaelmuisc, 22:39, """vamos Xóchitl"""
JepJepstory, @jepjepstory, 22:49, """morena= pobres conformistas"""
Shionx Vx, @shionxvx, 22:22, """ya ganó Claudia"""
Jordan Alexander, @jordanalexander, 22:31, """Claudia presidenta"""
Raymond Sandoval leal, @raymondsandoval, 22:24, """CLAUDIA"""
Angel Ja, @angelja, 22:58, """Claudia vamos"""
christian geovani, @christiangeovani, 22:27, """Arriba Claudia y ella ganará 😁"""
Luis Angel, @luisangel, 22:30, """CLAUDIA VAMOOOOO"""
Jordan Alexander, @jordanalexander, 22:25, """Claudia presidenta Claudia presidenta Claudia presidenta"""
Antonio Fernandez, @antoniofernandez, 22:56, """Claudia Presidenta"""
LEmON_BArK, @lemon_bark, 22:26, """viva claudia 😍"""
Thania Mendez, @thaniamendez, 22:52, """YA GANASTE XÓCHITL 🩷🩷❤❤❤💗💗💗💕💕💖💖💘💘💝💝❤‍🩹❤‍🩹❤‍🩹"""
Dario Israel, @darioisrael, 22:20, """🐣🐣GANO CLAUDIA"""
Miguel Angelo Rich, @miguelangelorich, 22:45, """arriba la doctora Claudia"""
Yolanda Reyes, @yolandareyes, 22:16, """PRESENTA CLAUDIA 🇲🇽🥳 🥳 🥳 🥳 🥳 🥳🥳"""
Abraham Choc, @abrahamchoc, 22:43, """qué csm Xóchitl"""
Oswaldo Jimenez, @oswaldojimenez, 22:17, """gane quien gane, lo único que importa es que pierda Claudia"""
Axel Rojas, @axelrojas, 22:50, """ARRIBA MORENA"""
Miranda, @miranda, 22:38, """MARISOL DOMÍNGUEZ PRESIDENTA🫦🫦‼‼"""
Marcusmonkey2000, @marcusmonkey2000, 22:28, """arriba Maynez 🧡🧡"""
BRAYAM MP, @brayammp, 22:47, """bravo morenistas la cagaron buenos para nada"""
PoisonedDollitaa, @poisoneddollitaa, 22:34, """MARISOL DOMÍNGUEZ PRESIDENTA ❗❗❗❗"""
Andrea Natalia Sandoval Rodríguez, @andreasandoval, 22:41, """FUERA MORENA! RATEROS!"""
Yanett Serna, @yanettserna, 22:23, """CLAUDIA ✨"""
Guillermo Canek, @guillermocanek, 22:35, """Xóchitl ganó, unas memizas"""
Marcusmonkey2000, @marcusmonkey2000, 22:18, """Maynez Maynez 🧡💛"""
Shikmawbom, @shikmawbom, 22:54, """VAMOS PRICHOS"""
María Fernanda, @mariafernanda, 22:13, """q gane xochitl"""
Alexis Esquivel, @alexisesquivel, 22:59, """Si gana claudia enseñó el pilin"""
Gerardo Reyes, @gerardoreyes, 22:12, """ciber ataque al ine esto huele a fraude electoral por parte del prian"""
Yanett Serna, @yanettserna, 22:11, """CLAUDIA ✨✨✨✨"""
JuanMa Morales, @juanmamorales, 22:13, """Fuera morena"""
Lord Farquad, @lordfarquad, 22:22, """si gana huacho, hay que decirle adios a la seguriadad de Mérida"""
Eduardo Sánchez, @eduardosanchez, 22:35, """Más rateros fueron los del prian"""
Max1to_l6TT, @max1to_l6tt, 22:48, """Que gane Xótchitl"""
Guadalupe González, @guadalupegonzalez, 22:30, """MÁYNEZ!! 🧡"""
Yanett Serna, @yanettserna, 22:39, """CLAUDIAface-blue-smiling"""
Dulce Flores, @dulceflores, 22:52, """Blanca vergel 😘👍🏼"""
Sinaí mendez Andrade, @sinaimendez, 22:17, """Vamos maynez 🧡"""
JuanMa Morales, @juanmamorales, 22:25, """FUERA MORENA"""
Shodan, @shodan, 22:41, """Si gana morena acabaremos como Venezuela, Argentina o cuba"""
Yanett Serna, @yanettserna, 22:16, """claudia"""
Yolanda Reyes, @yolandareyes, 22:28, """PRESIDENTA 💪🇲🇽❤❤❤❤❤❤❤ CLAUDIA"""
Jesus daniel Velasco, @jesusdaniel, 22:44, """Claudia"""
Julio Gómez, @juliogomez, 22:55, """Ganó claudia, me lo dijo mi sobrino que trabaja en el ine"""
Guadalupe González, @guadalupegonzalez, 22:19, """Aun que gane Claudia Siempre 🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡"""
Miranda, @miranda, 22:12, """GANÓ CLAUDIA??"""
lupita chavez bravo, @lupitachavez, 22:49, """Hasta el momento va ganando claudia pero aún no es nada seguro"""
Yo soy Bon, @yosoybon, 22:37, """no soy simpatizante de este partido pero que pasaría si gana Maynes"""
Chris0119, @chris0119, 22:31, """aguante maynez 🗣🔥"""
