User,arroba,hora de publicación,publicación
Rocío Corona,@Chiocolata,12:49,"""#YoVotéPorXóchitl"""
Lucia Mayoral,@LuciaMayoral10,12:48,"""#yovotéporxóchitl"""
Lucero M ✨💫🔆✴️,@Lucero_mark35,12:48,"""Replying to @MYunesMarquez Mi voto para @MYunesMarquez #yovotéporxóchitl #VotoÚtilXMéxico"""
fer elox l.,@EloxFernando,12:47,"""#YoVotéPorXóchitl"""
Gustavo Montoya,@Gustavomontoyao,12:47,"""#EleccionesMéxico2024 #YoVotéPorXóchitl #XochitlGálvezPresidenta"""
César,@C3zr_25,12:46,"""Primera vez ejerciendo mi derecho al voto, por lo mejor para México❤️ #XochitlGálvezPresidenta24 #yovotéporxóchitl #XoxhitlGálvezPresidente2024 #XochitlYaGanó"""
Monset🌻💅🏼👠💥,@FerMond20,12:46,"""Replying to @marcesgar and @XochitlGalvez #YoVotéPorXóchitl"""
Diego Picazo,@KsEPicazo,12:45,"""#yovotéporxóchitl apoco había otra opción?"""
Got morgen til livet,@robertoz70,12:45,"""#XochitlGalvezPresidenteDeMėxico #YoVotéPorXóchitl listo!!!"""
Jay,@YeyEsLa17,12:44,"""Así acabamos, con nuestro derecho y deber cumplidos. #YaSeVan #YoVotéPorXóchitl #EleccionesMéxico2024 @nosoycard @SirHijoDPuta @AXL_400 @VILLALVAZOGDL Y después, un buen desayuno en el deportivo."""
Lindenais ⚔️,@LinktheknightJL,12:44,"""Replying to @jgnaredo Jajajaja estás idiota, estamos votando para sacarlos a ti y a todos #YoVotéPorXochitl"""
Monset🌻💅🏼👠💥,@FerMond20,12:43,"""Replying to @MaxKaiser75 #YoVotéPorXóchitl"""
Yazvel,@yazvel0907,12:43,"""Por la democracia , la vida y la verdad. #yovotéporxóchitl"""
Asu!,@_iguana_morida_,12:41,"""Replying to @Juan_OrtizMX Que vayan y chinguen a su madre los chairos. No somos bots. Somos los millones de ciudadanos hartos de esos pinches ineptos, hambreados y resentidos. #YoVotarePorXóchitl #YoVotePorXochitl #YaSeVan"""
Miguel_Mata,@MiguelMataSLP,12:41,"""Hoy Todo Morena se va a la Sheingada. Vamos México con Xóchitl. #EleccionesMéxico2024 #YoVotéPorXóchitl #ElecciónPresidencial"""
Dr. Armando Cintra 🇲🇽,@armando_cintra,12:41,"""#yavotéporxóchitl #YoVotéPorXóchitl"""
AnaLRuiz,@AnaLRuiz265431,12:40,"""#YoVotePorXochitl"""
Gibran Courier X,@GibranCourier75,12:39,"""Replying to @analucia_medina Ya Voté. Para salvar a Mexico. México se lo merece. Amo el rosa de la marea; odio el rojo sangre de mi Mexico hoy. Una pequeña muestra @analucia_medina Mira mi suplente. #AmoAMexico #YoVotéPorXóchitl"""
Nora Sánchez,@norasanchez,12:38,"""Replying to @EmilioAlvarezI #YoVotéPorXochitl"""
Gattaca X,@RossyTolentino,12:38,"""Replying to @ryo_hermoso Chihuahua y #YoVotéPorXóchitl #yavotéporxóchitl #XochitlGálvezPresidenta24 #XoxhitlGálvezPresidente2024"""
Nereida Solórzano,@NereidaSolVar,12:37,"""Mi esposo, mi hijo y yo votamos por @XochitlGalvez vía @PRDMexico 🗳️🤞🏼🔆💛 #YoVotéPorXóchitl #XóchitlGálvezPresidenta2024"""
Francisco Sánchez C. 🇲🇽,@PacoSanchezCerv,12:36,"""La democracia permite la libre elección de un proyecto de gobierno, respetar a quien piensa diferente e incluir a todas las voces en la vida pública. Por un #México con democracia plena, salgamos a votar! #EleccionesMéxico2024 #XochitlGálvezPresidenta24 #yovotéporxóchitl"""
Giio D Sanchz,@RestaurandoO,12:35,"""No fue la mejor opción pero fue la menos peor para mandar a chspm a los morenacos #yovotéporxóchitl"""
🇲🇽Fofonauta 𝕏 🇲🇽,@Fofonauta_,12:35,"""Replying to @ryo_hermoso #YoVotéPorXóchitl"""
Michael Angelo,@MichaelAngeloZN,12:34,"""#YoVotéPorXóchitl"""
Don George,@DarkGeorgeFire,12:34,"""#YoVotéPorXóchitl #YoVotarePorXóchitl"""
Luka,@MardmeV,12:31,"""#EleccionesMéxico2024 #YoVotéPorXóchitl"""
Leo DA VINCI.,@Romanz1999,12:31,"""Replying to @LOVREGA #YoVotéPorXóchitl"""
Alejandro CG,@acavazosgon,12:30,"""#YoVotéPorXochitl"""
Jacobo Vera,@jacobovera,12:29,"""#EleccionesMéxico2024 #yovotéporxóchitl"""
Dr. TIEMPO,@TiempoDetenido,12:44,"""Elijo creer xochitl"""
Enrique Duarte Velarde,@kikesma,12:59,"""#EleccionesMexico2024 #ElecciónPresidencial #esunhonorestarconobradoryclaudia"""
Castro Cornejo ...,@joseluisks,12:58,"""#PRIANCorrupto #EleccionesMéxico2024 #ElecciónPresidencial #EleccionesMéxico"""
Jay,@YeyEsLa17,12:53,"""Así acabamos, con nuestro derecho y deber cumplidos. #YaSeVan #YoVotéPorXóchitl #EleccionesMéxico2024 @nosoycard @SirHijoDPuta @AXL_400 @VILLALVAZOGDL Y después, un buen desayuno en el deportivo."""
Carlos Torres,@CarlosTorresF_,12:55,"""¡Vida, verdad, libertad! 🩷🤍🩷 #YoVotéPorXóchitl"""
Oscar Hernández,@Real_Oscarinn,12:27,"""Me encanta el interés que veo en la gente por salir y votar… misión cumplida #yovotéporxóchitl"""
Mireya Toto Gtz,@mitoguti,12:53,"""Cuando no te quieren ni en ti casilla ni en todo #Veracruz #JarochosConPepe #YoVotéPorXochitl #YoVotéPorPepe"""
Sofia Flores P,@SofiaFloPa,12:49,"""#YoVotéPorXóchitl bueno yo YA voté por Xóchitl!! 🇲🇽 @XochitlGalvez @Xochitl2024 #YaGanóXóchitl 🩷🩷"""
Max Kaiser,@MaxKaiser75,12:50,"""YO VOTÉ POR LA VIDA, LA VERDAD Y LA LIBERTAD VOTÉ POR MÉXICO 👊🏻 #YoVotéPorXóchitl"""
O_R_L_CH 🌊❤️🌙,@ORLCH730513,12:51,"""Misión cumplida. #YoVotéPorXóchitl"""
Ana María García 🇲🇽,@AnaMaGa_Ga,12:32,"""¡Cuéntenle bien! 🤞🗳️ Ejercí mi derecho a decidir el México que quiero, vida, verdad y libertad. #YoVotéPorXóchitl #XóchitlGálvezPresidentaDeMéxico"""
Francisco Sánchez C. 🇲🇽,@PacoSanchezCerv,12:46,"""La democracia permite la libre elección de un proyecto de gobierno, respetar a quien piensa diferente e incluir a todas las voces en la vida pública. Por un #México con democracia plena, salgamos a votar! #EleccionesMéxico2024 #XochitlGálvezPresidenta24 #yovotéporxóchitl"""
Gabriel Gonzalez,@propuestamcd,12:55,"""Pues listo #YoVotéPorXochitl #XochitlGálvezPresidenta24"""
José Carranza,@elwerocarranza,12:11,"""A votar para botarlos!!! #YoVotePorXochitl"""
Monset🌻💅🏼👠💥,@FerMond20,12:52,"""Replying to @marcesgar and @XochitlGalvez #YoVotéPorXóchitl"""
Տᑌ MALVADA ᗰᗩᒎᗴՏ丅ᗩᗪ ᒪᗩ ᗷᗝᗩ 👑🐍,@JeSuisLaBOA,12:59,"""Después de 5 horas, se logró. ¡Ánimo México, así se vota en Dinamarca! #YoVotéPorXóchitl"""
Manuel Peñaloza M,@ManuelPenalozaM,12:45,"""#yovotéporxóchitl 💙"""
Edgar Agui,@epagui73,12:10,"""Música para mis oídos asi reciben en casilla al candidato de Morena al Gobierno del Estado de Puebla #LaloGobernador #YoVotePorXóchitl"""
ɱιɠυҽʅ αɳɠҽʅ ƚҽʝҽԃα,@miketejeda,12:41,"""#yovotéporxóchitl 5 de 5 PAN"""
Adriana Romero ™,@pazzopony,12:26,"""Me encantó ver muchísima gente votando. Nunca había visto colas tan largas. Felicidades a la gente de mi casilla donde están trabajando muy organizados y súper rápidos. Saludos desde León, Gto. #YoVotéPorXochitl #XochitlGálvezPresidenta24"""
J. C. Mora,@Castro_geo2020,12:22,"""Vida, verdad y Libertad, VOTE POR MÉXICO, Xóchitl y Taboada #cdmx 👊 #YoVotéPorXóchitl"""
Livier 🍀🌷🏳️,@LivierFR,12:01,"""He cumplido mi obligación ciudadana. ♥️🇲🇽♥️🗳️🕊️ #XóchitlGálvezPresidenta24 #YoVotéPorXóchitl"""
Queen Vero,@verovarita,12:59,"""Pues ya estuvo #yovoteporxochitl #XochitlGálvezPresidenta24 #XochitlGálvezPresidenta"""
rosy rivera campa,@rosyriveracampa,12:59,"""#yovotéporxóchitl"""
Cherry 💖✖️💖🍒,@Cherry64494351,12:59,"""Replying to @palito35 Felicidades, amigo!! Así se hace. Con mucho amor a nuestro México. Ya fuimos desde tempranito. #YoVotéPorXóchitl"""
cinthia torres,@swetsaumerio,12:59,"""Replying to @MaxKaiser75 @INEMexico @xochilove_rs @XochitlGalvez #YoVotéPorXóchitl"""
Bruce...,@BGarceau32,12:58,"""Es mi país, esta es mi tierra y casa... #YoVotéPorXóchitl"""
Lucia Franco,@franco_lucia,12:58,"""Con toda la libertad y porque quiero un México mejor #yovotéporxóchitl"""
🇲🇽 Mariano Martinez 🇺🇲,@Mariano_MF1,12:57,"""#YoVotéPorXóchitl #XochitlGálvezPresidenta24"""
💕💕💕💕 La señora del 🩱 ROSA 💕💕💕💕,@LaReynadeTula,12:56,"""Por un México sin mugrena!!! #YoVotéPorXóchitl"""
YorchYoSoyElINAI,@ljpuig,12:54,"""#YoVotePorXochitl #XochitlGálvezPresidenta"""
HECTOR,@pollito9904,12:54,"""#yovotéporxóchitl AMLO de parte mía ya te puedes ir a CHTPM"""
memo marg,@memoso28,12:53,"""Replying to @MaxKaiser75 #YoVotéPorXochitl"""
Jahir De La Luz,@JahirPastor,12:52,"""Ejerciendo mi derecho al voto 🗳️☀️#yovotéporxóchitl"""
Adrian S,@Mr_Adrn,12:52,"""#YoVotarePorXóchitl #YoVotéPorXochitl #XochitlGálvezPresidenta"""
ElSinFiltros,@filtros_el,12:49,"""#yovotéporxóchitl y sentí muy bonito"""
Javier 🇲🇽,@PacoGol00,12:49,"""#yovotéporxóchitl"""
Ricardo M. A. Estrada Ramírez,@ricestrada,12:57,"""¿Ya ganó #XochitlGálvezPresidenta24 ? Para no seguir con el Jesús en la boca. #EleccionesMéxico2024 #VotarEstáDeModa #ElecciónPresidencial"""
LUCIRBDF,@LUCIRBDF,12:56,"""Así como lo dije hace unos días y aquí lo constato. Mi voto para: VER💛NICA JUÁREZ PIÑA CYNTHI❤️ LÓPEZ CASTRO SENADO @juarezveromex 💛 #RebeldeConCausa"""
Javiishito,@javier0344,12:53,"""Se votó por @Claudiashein #EleccionesMéxico2024 #ElecciónPresidencial 👍🏼 ya ganamos México 🇲🇽"""
Miguel_Mata,@MiguelMataSLP,12:34,"""Hoy Todo Morena se va a la Sheingada. Vamos México con Xóchitl. #EleccionesMéxico2024 #YoVotéPorXóchitl #ElecciónPresidencial"""
Javier 🇲🇽,@PacoGol00,12:30,"""Pura gente de la Sra. Chóchil alv #EleccionesMéxico2024 #MexicoConXochitl #MexicoDespierta #ElecciónPresidencial #MexicoVaConX"""
José PP,@JoseLop61267768,12:21,"""Mi cámara del celular falló pero así tal cual mis boletas para apoyar el #PlanC_YaEstáEnMarcha . ¡Unas horas más y a celebrar! 😁 #EleccionesMéxico2024 #ElecciónPresidencial #ClaudiaPresidentaDeMéxico #AMLOelMejorPresidenteDelMundo"""
Dino Madrid 🔻,@dinomadridmx,12:23,"""El voto es secreto, pero antes que todo es libre, así que yo lo hago público. Así voté en la 0891 de Pachuca: Claudia, Simey, Cuauhtémoc, Ricardo, Andrés y Jorge. ¡5 de 5! ¡Todo morena! 🗳️"""
Ginés Sanchez ♋,@ginesacapulco,12:11,"""Hoy, domingo 2 / Junio / 2024, tuve  la oportunidad y el honor de hacer PATRIA 💚 🤍 ❤ #EleccionesMéxico2024 #ElecciónPresidencial"""
El 001,@2g_oscar,12:02,"""Recuerden, morena solo la que me cuelga. #EleccionesMéxico2024 #ElecciónPresidencial #XochitlGálvezPresidenta24"""
Sam Hernández F.,@samuelhf,12:01,"""#EleccionesMéxico2024 #ElecciónPresidencial #ClaudiaPresidentaDeMéxico #AmloEsLaFuerzaDelAmor #XochitlYaChingoSuMadre #XochitlYaPerdió . Mexicanos al grito de guerra, que siga la 4ta transformación."""
Juan Medina,@doctorjuanito,12:48,"""Que siga la transformación. ❤️ #ChairoHastaLasChanclas. #EleccionesMéxico2024 #VotaMexico #EleccionPresidencial #Queretaro @Claudiashein @SNietoCastillo"""
YOLLOXAN,@XANTILTI,12:28,"""Nikan tochantzinco ope keh las 8:20am neh o ni tlamahchoti las 9:32am nocni #amlo Miek toc nitzitzihua kate. #SanBernardinochalchihuapan #chalchihuapan #ocoyucan #PUEBLA #nahuatl @Cuauhtemoc_1521 #EleccionesMéxico2024 #ElecciónPresidencial #EleccionesMéxico24"""
𝕷𝖚𝖎𝖘 𝕺𝖈𝖙𝖆𝖛𝖎𝖔.© 🇲🇽 🦏,@octaviorobles,12:26,"""#EleccionesMéxico2024 #ElecciónPresidencial #JornadaElectoral @Claudiashein Presidenta"""
Nutrias al poder,@NutriarcadoYa,12:20,"""Las nutrias ejercimos el único voto cruzado útil. @Claudiashein @ClaraBrugadaM @LourdesPaz24 @PTnacionalMX #EleccionesMéxico2024 #ElecciónPresidencial #XochitlGálvezPresidenta (No🤣) #VotaMéxico2024"""
Gerardo Ochoa-Vargas, MD,12:31,"""1h,#ElecciónPresidencial #XóchitlGálvezPresidenta #VotaMéxico2024 #EleccionesMéxico2024 y sobre todo #QueChingueSuMadreElCártelMorena"""
Huitanot Soir 🇲🇽🇷🇺🇵🇸🇨🇳🇨🇺🇸🇩,@tonatiuh72,12:59,"""#ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Cristina Rodríguez,@Cra119,12:59,"""Vamos por el segundo piso de la 4T. #ClaudiaPresidentaDeMéxico2024 #ClaudiaPresidentaDeMéxico #ClaudiaPresidenta #PlanC"""
тео Palm ⚜️,@Theopalma,12:59,"""Listo desde Valladolid, Yucatán. 🗳️🇲🇽 #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Allech Barron,@allechbrr,12:58,"""#ClaudiaPresidentaDeMéxico2024 ¡Con mi voto te digo GRACIAS, AMLO! Gracias por poner el nombre de México en alto, regresarnos la Dignidad y por darnos Bienestar Económico. Te cedemos la confianza @Claudiashein por prometer y seguir el legado de AMLO y de la Cuarta"""
