User,arroba,hora de publicación,publicación
Bruja Cósmica de los Salchis,@indraelephant8,16min,"""Vean la sencillez de Claudia Sheinbaum, haciendo fila como cualquier ciudadano. #ClaudiaPresidentaDeMéxico2024"""
J. Alberto,@BetoMeVa,1h,"""Le di mi voto a @Claudiashein para jefa de gobierno, hoy se lo doy para presidenta. #ClaudiaPresidentaDeMéxico2024"""
Federico Steck,@Fedsteck,1h,"""Estos pobres ingenuos van a votar por los asesinos de sus padres. #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Mary Villa,@marycielovilla,2h,"""A repetir la historia amigos, hoy lo haremos de nuevo... 🤗🤗🤜🤛 #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Iban Asenjo Garde,@IbanAsenjo,3h,"""Gaur hauteskundeak Mexikon. Gora #Morena, gora #ClaudiaPresidentaDeMéxico2024 baina, gehien bat, gora herri indigenak."""
rocio vazquez,@chioreya,3h,"""Sigamos reconstruyendo nuestro amado país y rescatemos la democracia. #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,54min,"""@lopezobrador ya votó. Participa y haz que tu voz cuente. #ClaudiaPresidentaDeMéxico2024"""
Nigromante,@Gramoxxi,2h,"""Celebraron tragedias. Promueven golpe de estado porque saben que pierden. #ClaudiaPresidentaDeMéxico2024"""
Karla oropeza,@kr_oropeza,29feb,"""Cansadas de su complicidad con narcotraficantes. #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Sergio Álvarez,@SergioAlvarez4T,1h,"""Nunca más un ser nefasto como Xóchitl en las boletas. #ClaudiaPresidentaDeMéxico2024"""
ALURKA,@ALURKA,4h,"""Aquellos que odian a su misma gente defienden lo indefendible. #ClaudiaPresidentaDeMéxico2024"""
Adriana Salazar,@hhadris21,1h,"""En mi casilla todo tranquilo. Gracias @INEMexico por escucharnos. #ClaudiaPresidentaDeMéxico2024"""
Chaira por convicción,@amoresAMLO,31feb,"""Xóchitl es una farsante. #EsClaudiaPresidenta2024 #ClaudiaPresidentaDeMéxico2024"""
#VotoMasivoPorMorena2024,@comsatori,30feb,"""Dos noticias para los opositores: disfruten. #ClaudiaPresidentaDeMéxico2024"""
Frank,@frankrguez10,2h,"""TODOS A VOTAR POR LA DOCTORA. #ClaudiaPresidentaDeMéxico2024"""
m flores,@mxmariel,21h,"""Por supuesto salir a votar por Claudia. #XochitlCompletamenteDerrotada"""
j. gonzález baum,@jgonzalezbaum,13h,"""La corrupta de Xóchitl hará el ridículo. #ClaudiaPresidentaDeMéxico2024"""
María Flores,@RamosLenomcevid,3h,"""Hoy es un gran día para seguir en el movimiento del pueblo. #ClaudiaPresidentaDeMéxico2024"""
Cuco🐔Coroco,@SogneQue,13h,"""Es hora de patearles el culo al PRIAN. #ClaudiaPresidentaDeMéxico2024"""
El gato político,@elgatopolitico_,1h,"""AMLO llega a votar. #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Vianey Sánchez,@VianeyS21869722,11h,"""Salgamos a votar masivamente. #ClaudiaPresidentaDeMéxico2024"""
Luis,@rawmstock,2h,"""Mexicanos, al grito de guerra. #ClaudiaPresidentaDeMéxico2024"""
GOH,@OHGama85,2h,"""Ni un voto al PRIAN. #ClaudiaPresidentaDeMéxico2024"""
Luis Carpintero,@Luiscarpintero,3h,"""Morena va a perder. Sal con 10 más a votar. #XochitlYaGanó"""
El Abraham chilletaX.,@ecuernavaco2,1h,"""Hoy podemos cambiar el rumbo y elegir a Xóchitl. #YoVotarePorXóchitl"""
ᗰᗩᖇ 🤞🏻🩷,@FifiForever21,1h,"""Ya en mi casilla esperando. ¡La victoria es nuestra! #YoVotarePorXóchitl"""
Raul Diaz Diez,@rauldiazdiez,3h,"""Llegó la hora, salgamos a votar. #YoVotarePorXóchitl"""
