User,arroba,hora de publicación,publicación
Rocío Corona,@Chiocolata,11m,"""#YoVotéPorXóchitl"""
Lucia Mayoral,@LuciaMayoral10,12m,"""#yovotéporxóchitl"""
Lucero M ✨💫🔆✴️,@Lucero_mark35,12m,"""Replying to @MYunesMarquez Mi voto para @MYunesMarquez #yovotéporxóchitl #VotoÚtilXMéxico"""
fer elox l.,@EloxFernando,13m,"""#YoVotéPorXóchitl"""
Gustavo Montoya,@Gustavomontoyao,13m,"""#EleccionesMéxico2024 #YoVotéPorXóchitl #XochitlGálvezPresidenta"""
César,@C3zr_25,14m,"""Primera vez ejerciendo mi derecho al voto, por lo mejor para México❤️ #XochitlGálvezPresidenta24 #yovotéporxóchitl #XoxhitlGálvezPresidente2024 #XochitlYaGanó"""
Monset🌻💅🏼👠💥,@FerMond20,14m,"""Replying to @marcesgar and @XochitlGalvez #YoVotéPorXóchitl"""
Diego Picazo,@KsEPicazo,15m,"""#yovotéporxóchitl apoco había otra opción?"""
Got morgen til livet,@robertoz70,15m,"""#XochitlGalvezPresidenteDeMėxico #YoVotéPorXóchitl listo!!!"""
Jay,@YeyEsLa17,16m,"""Así acabamos, con nuestro derecho y deber cumplidos. #YaSeVan #YoVotéPorXóchitl #EleccionesMéxico2024 @nosoycard @SirHijoDPuta @AXL_400 @VILLALVAZOGDL Y después, un buen desayuno en el deportivo."""
Lindenais ⚔️,@LinktheknightJL,16m,"""Replying to @jgnaredo Jajajaja estás idiota, estamos votando para sacarlos a ti y a todos #YoVotéPorXochitl"""
Monset🌻💅🏼👠💥,@FerMond20,17m,"""Replying to @MaxKaiser75 #YoVotéPorXóchitl"""
Yazvel,@yazvel0907,17m,"""Por la democracia , la vida y la verdad. #yovotéporxóchitl"""
Asu!,@_iguana_morida_,19m,"""Replying to @Juan_OrtizMX Que vayan y chinguen a su madre los chairos. No somos bots. Somos los millones de ciudadanos hartos de esos pinches ineptos, hambreados y resentidos. #YoVotarePorXóchitl #YoVotePorXochitl #YaSeVan"""
Miguel_Mata,@MiguelMataSLP,19m,"""Hoy Todo Morena se va a la Sheingada. Vamos México con Xóchitl. #EleccionesMéxico2024 #YoVotéPorXóchitl #ElecciónPresidencial"""
Dr. Armando Cintra 🇲🇽,@armando_cintra,19m,"""#yavotéporxóchitl #YoVotéPorXóchitl"""
AnaLRuiz,@AnaLRuiz265431,20m,"""#YoVotePorXochitl"""
Gibran Courier X,@GibranCourier75,21m,"""Replying to @analucia_medina Ya Voté. Para salvar a Mexico. México se lo merece. Amo el rosa de la marea; odio el rojo sangre de mi Mexico hoy. Una pequeña muestra @analucia_medina Mira mi suplente. #AmoAMexico #YoVotéPorXóchitl"""
Nora Sánchez,@norasanchez,22m,"""Replying to @EmilioAlvarezI #YoVotéPorXochitl"""
Gattaca X,@RossyTolentino,22m,"""Replying to @ryo_hermoso Chihuahua y #YoVotéPorXóchitl #yavotéporxóchitl #XochitlGálvezPresidenta24 #XoxhitlGálvezPresidente2024"""
Nereida Solórzano,@NereidaSolVar,23m,"""Mi esposo, mi hijo y yo votamos por @XochitlGalvez vía @PRDMexico 🗳️🤞🏼🔆💛 #YoVotéPorXóchitl #XóchitlGálvezPresidenta2024"""
Francisco Sánchez C. 🇲🇽,@PacoSanchezCerv,24m,"""La democracia permite la libre elección de un proyecto de gobierno, respetar a quien piensa diferente e incluir a todas las voces en la vida pública. Por un #México con democracia plena, salgamos a votar! #EleccionesMéxico2024 #XochitlGálvezPresidenta24 #yovotéporxóchitl"""
Giio D Sanchz,@RestaurandoO,25m,"""No fue la mejor opción pero fue la menos peor para mandar a chspm a los morenacos #yovotéporxóchitl"""
🇲🇽Fofonauta 𝕏 🇲🇽,@Fofonauta_,25m,"""Replying to @ryo_hermoso #YoVotéPorXóchitl"""
Michael Angelo,@MichaelAngeloZN,26m,"""#YoVotéPorXóchitl"""
Don George,@DarkGeorgeFire,26m,"""#YoVotéPorXóchitl #YoVotarePorXóchitl"""
Luka,@MardmeV,29m,"""#EleccionesMéxico2024 #YoVotéPorXóchitl"""
Leo DA VINCI.,@Romanz1999,29m,"""Replying to @LOVREGA #YoVotéPorXóchitl"""
Alejandro CG,@acavazosgon,30m,"""#YoVotéPorXochitl"""
Jacobo Vera,@jacobovera,31m,"""#EleccionesMéxico2024 #yovotéporxóchitl"""
Dr. TIEMPO,@TiempoDetenido,5h,"""Elijo creer xochitl"""
Enrique Duarte Velarde,@kikesma,27s,"""#EleccionesMexico2024 #ElecciónPresidencial #esunhonorestarconobradoryclaudia"""
Castro Cornejo ...,@joseluisks,2min,"""#PRIANCorrupto #EleccionesMéxico2024 #ElecciónPresidencial #EleccionesMéxico"""
Jay,@YeyEsLa17,7m,"""Así acabamos, con nuestro derecho y deber cumplidos. #YaSeVan #YoVotéPorXóchitl #EleccionesMéxico2024 @nosoycard @SirHijoDPuta @AXL_400 @VILLALVAZOGDL Y después, un buen desayuno en el deportivo."""
