User,arroba,hora de publicación,publicación
LEÓN 🦁,@RafaRosasRivera,6min,"""Ya cumplí yo... #YoVotéPorXóchitl #VotoÚtilXMéxico #EleccionesMéxico2024"""
nana,@sugarincandyz,7min,"""Voto por un México que sea lo suficientemente estable para que nct siga viniendo y bts venga en 2025 🩵🩷 #EleccionesMéxico2024 #XochitlGálvezPresidenta2024 #YoVotéPorXochitl"""
Kid Charlemagne,@kidcarlomagno_,7min,"""En respuesta a @AlvarezMaynez - Escucha Maynez, no voy a mentirte: es posible que ganes la presidencia, pero... debes visualizar cómo vas a ganar. “Maynez gana la presidencia de México porque los simpatizantes de Xóchitl y Claudia perdieron su INE”. #EleccionesMéxico2024"""
rodrys,@paparuchas1,8min,"""#EleccionesMéxico2024 FUERA MORENA."""
Anas Zahid,@Anus80621013,8min,"""YoVotéPorXóchitl las filas en casillas dicen que ya ganamos.💥💥💥💥 #EleccionesMéxico2024 #YoConXóchitl"""
Armando Regil,@armando_regil,9min,"""Si esperamos 6 años para este día… Qué importa esperar unas horas haciendo fila. ¡¡Todo es por nuestro querido México!! ¡¡¡Mi voto es para ti querida @XochitlGalvez ,sé que serás una gran presidenta!!! #VotarEsDeChingones"""
Amir Ibrahim,@AmirIbrahimQRoo,9min,"""Logró desbloqueado por morena #EleccionesMéxico2024 ¡Vamos México!"""
Francisco Loretto,@lorettofran,10min,"""Con la esperanza, dignidad y memoria histórica por delante votamos para seguir Transformando la vida de millones de personas."""
Max,@maxculero,12min,"""Aysta su voto, hágame mi transferencia. #EleccionesMéxico2024 #YoVotéPorXóchitl"""
Heidi Parra 🍉,@HeidiPJmz,12min,"""Que siga la transformación de este hermoso país 🇲🇽 #EleccionesMéxico2024 #VotoTodoMorena #QueSigaLa4T"""
Obsidiana La Gitana,@OvejaPrieta,13min,"""3 hrs en la fila de la #casilla, menos mal me fui sombreruda y con la mamalona de la izquierda brasileña ""Ninguém solta a mão de ninguém"" y como diríamos los #MexicanosAlGritoDelVoto ""Nadie suelta la mano de nadie"" SE LOGRÓ #PlanC #ClaudiaPresidentaDeMéxico #EleccionesMéxico2024"""
Danni Madrid,@DENNISE2201,13min,"""#EleccionesMéxico2024 #niunvotoamorena #YoVotéPorXóchitl"""
Don Perfecto,@Letrologo_,13min,"""Así se ve la 4T #EleccionesMéxico2024 #Jalisco #EsClaudiaPresidenta2024"""
Enriqe Morales,@EnriqeMorales,13min,"""Elijo creer 💙🩵 #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Henrry Mtz,@isaenrimtz,14min,"""Seguimos haciendo historia, en el 2018 con @lopezobrador_ en el 2024 con la Dra @Claudiashein, 5 de 5, todo MORENA #EleccionesMéxico2024"""
