User,arroba,hora de publicación,publicación
Andres Hernandez,@AndresH18707932,28min,"""Que las encuestas de salida no nos cuenten otra cosa, hoy los votantes estan haciendo su propia encuesta de salida y su sentido del voto Todo MORENA #PlanC #ClaudiaPresidentaDeMéxico2024 🇲🇽🇲🇽🇲🇽🇲🇽"""
ING Jose Quintero,@JoseQui58368,28min,"""#VotoMasivoMorenaPTyPV #ClaudiaPresidentaDeMéxico2024"""
Perry (Smiley),@Miss_misstake,29min,"""En respuesta a @Xochitl2024 De maravilla ❤️ #ClaudiaPresidentaDeMéxico2024"""
ISIC. Gabriel Abraham,@GAbrah_SF,29min,"""En respuesta a @AngMariscal4T #ClaudiaPresidentaDeMéxico2024"""
Jorge Arturo,@JA_RoMagno,29min,"""En respuesta a @XochitlGalvez En Tu Cara, para que los cuentes Bien! #ClaudiaPresidentaDeMéxico2024"""
Polo Benítez 🇲🇽,@polobenitez,30min,"""#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
DOOM,@DOOM11854111351,30min,"""#ClaudiaPresidentaDeMéxico2024"""
Christian popocatl,@Chrstianlevy,31min,"""Ejerciendo mi derecho Por ti #ClaudiaPresidentaDeMéxico2024"""
G@bO 👑🐶❤️,@phrodite11,31min,"""Hecho esta #ClaudiaPresidentaDeMéxico2024"""
Lili Islas ☕️,@duceli_175,32min,"""Quedamos en las mejores manos para construir el 2° piso de NUESTRA Transformación💪🏼 Toda mi confianza para @Claudiashein, no nos falló como Jefa de gobierno y no nos fallará como #ClaudiaPresidentaDeMéxico2024 No te dejaremos sola y vamos junt@s #HastaLaVictoria #ClaudiaArrasará"""
Mario,@Mario_elcapi,33min,"""En respuesta a @XochitlGalvez Misión cumplida! #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Eduardo Loera,@_edwardwilliams,34min,"""Con el corazón siempre a la IZQUIERDA #ClaudiaPresidentaDeMéxico2024 #EsClaudia #EleccionesMéxico2024 #4taTransformación #VotaTodoMorena #PrimeroLosPobres"""
Edgar Osogobio Celix,@osogobioedgar,34min,"""Listo, #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #Clara"""
luis hernandez,@luishdz0606,35min,"""#ClaudiaPresidentaDeMéxico2024 Con mí voto te digo gracias, @lopezobrador_"""
