num_debate,canal,username,fecha,comentario,num_likes
1,unotv,herrerahernandezcinthiajoh1644,07/04/2024,"Parecían padres divorciados Claudia y Xóchitl jajajajajaj y maynez el hijo 1,3 K",0
1,unotv,castanedache-nq5ig,07/04/2024,"Para llevar a cabo un debate presidencial se mueren de hambre, pongan el cronómetro en TODO MOMENTO. Más de una ocasión los candidatos hablaron más de 35 segundos y el cronómetro bien gracias oculto. Sean transparentes desde ahí.",479
1,unotv,Jihoonmylove,07/04/2024,un dia eres joven y al otro te interesan los debates presidenciales (no tengo edad para votar),412
1,unotv,lordastro0ficial,07/04/2024,Que gane quien sea menos Xóchitl,313
1,unotv,gasimov1976,07/04/2024,Es en serio lo que dijo la candidata Xochitl. ¿Pregúntenle a los muertos?. Que tonterías dice y sin razón.,823
1,unotv,amingutierrez3362,07/04/2024,Xochil galvez es un peña nieto cualquiera,717
1,unotv,sandybellchinas1323,07/04/2024,Lo que me pregunto es: habrá alguien tan ingenuo (por no llamarlo de otra forma) que pueda creer algo de lo que dice Xóchitl?  Tan pronto se nos olvidó todo lo que por años nos ha hecho el PRI y todo su círculo privilegiado? Es ofensivo ver qué nos asumen estúpidos!,107
1,unotv,nayelimejia7716,07/04/2024,47:39 Claudia tiene restante 3:30 minutos. 48:42 Xochitl está hablando y el reloj de Claudia está corriendo. Le quitaron más de 10 seg.,193
1,unotv,homesteadgd8013,07/04/2024,Lastima que no se puede votar por el niño del Oxxo,493
1,unotv,juanltzcodm4507,07/04/2024,"Esta era la última oportunidad de Xochitl para demostrar al menos un poco de inteligencia pero no presento propuestas, mas bien solo atacó. Estas elecciones seran de maynez y claudia",512
1,unotv,diiegoaguilera7435,07/04/2024,"1:28:37 ""Si tiene pruebas que las presente ante ministerio publico""  Así de facil es destruir los argumentos del Prian",241
1,unotv,Veronica-cv7st,07/04/2024,Lo peor paso cuando Xóchitl abrazo la bandera de cabeza. Como es posible,167
1,unotv,BLAKI-wx6sb,07/04/2024,Xóchitl se pone nerviosa en un debate y se traba al expresarse. Imagínate para dirigir un país,661
1,unotv,zetagaming4534,07/04/2024,"No mamen con su inteligencia artificial, no tiene ni idea de lo que dicen...",409
1,unotv,erickaguirre4888,07/04/2024,"Para las personas que no están mirando en vivo, el debate comienza en el 35:30",115
1,unotv,lordastro0ficial,07/04/2024,"¿Se dieron cuenta que Claudia y Maynez estaban pidiendo que solucionarán sus relojes porque el tiempo estaba mal? Y a Xóchitl no le paso eso, al contrario, le daban más tiempo...",44
1,unotv,MarinaAzul-dx8le,07/04/2024,No necesitamos escuelas de tiempo completo solo mayor calidad en la educacion. 1 K,0
1,unotv,juancarlosarevaloramirez6559,07/04/2024,No sabe hablar Xóchitl jaja,151
1,unotv,cruzfcapayanviera8084,07/04/2024,Esa Xóchil no devatio nada solo fue aser lo que sabe puro acusar y chismear..,357
1,unotv,eduardovillarreal4438,07/04/2024,"Nunca hablaron del Campo mexicano, de los agricultores ni los ganaderos, se ve que eso no les interesa",93
1,unotv,HNDRKSN,07/04/2024,"Claudia está enfocada en dar las propuestas y profundizar sus argumentos , no en estar contestando  a los ladridos y provocaciones de la botarga, la botarga no profundizó en ninguna propuesta ni en nada relevante ella solo fue a ladrar sin sentido y atacar a sus oponentes, se le olvidó que estaba en el debate no el tianguis",237
1,unotv,GermanCamachoRMZ,07/04/2024,Imagínense que Xochitl quedara de presidente. No mms la peor vergüenza mundial que Nos podría pasar,745
1,unotv,doriancalzada9387,07/04/2024,Si gana Xochitl me voy de México,228
1,unotv,josepepenajera2830,07/04/2024,Que raro que en cuanto la aspirante de Morena Claudia respondería sobre las acusaciones de la Xóchitl mandaron a un corte publicitario en esta programación. Se deja de ver a quien cuidan y quien les paga y si no con quien se codean para su beneficio. 4T segunda transformación (APOYO TOTAL PARA MORENA),54
1,unotv,alexsalazar7064,07/04/2024,"No pueden poner a chayoteros como mediadores, en cuanto vieron que Maines ataco a PRIANRD le cortaron el tiempo y para acabarla no podía ver el tiempo por dizque según fallas técnicas.",284
1,unotv,daniellearr7153,07/04/2024,"Sheinbaun es estricta, obvio iba seria no iba a contar chistes, iba a debatir.",389
1,unotv,pattricio1002,07/04/2024,el dinero no se lo regalan a los adultos mayores ellos trabajaron por mas de 30 años generando ingresos para el pais es solo un poco de lo que durante toda su vida laboral aportaron via impuestos y fuerza laboral,16
1,unotv,lisacaudillo6234,07/04/2024,"Oigan como que Xochitl tiene mas tiempo para hablar no? MEXICANOS DESPIERTEN que no nos vuelvan a hacer fraude electoral, si ya paso esto en el primer debate que no puede pasar en las elecciones",24
1,unotv,gabrielcresporamirez3962,07/04/2024,De nuevo a votar por el menos peor,357
1,unotv,luisleonardoquezadasortiz7854,07/04/2024,"No jodn, Maynez es el unico que realmente responde las preguntas con propuestas buenas, lastima que a mi Mexico le encanta màs el circo mediatico y van a votar por quien humillò màs a quien",245
1,unotv,lorefujioka8119,07/04/2024,"Entiendan, el problema de la educación no es solo por los docentes, el problema es la ausencia del seno familiar, ya que por padres poco comprometidos o ausentes por trabajar para tener una vida mas digna, los alumnos dejan de tener interés, están solos en el aprendizaje.  El poder de alentar a los alumnos es mas fuerte cuando viene de padres que de los docentes...",17
1,unotv,NEKSRUDE,07/04/2024,Nmms donde estabas metido Maynez. Crei que solo habian dos candidatos. Me esta convenciendo. Es contundente,22
1,unotv,iraktorres4565,07/04/2024,"Yo no quiero oír chismes , para eso esta Ventaneando o muchas plataformas que se encargan de eso, yo quiero respuestas a preguntas. ¡Me hartan!",413
1,unotv,albertoguerrero2217,07/04/2024,Maynez : al parecer el mejor preparado y librado en este debate. Sheinbaum: se preparó pero se quedó corta. Cochitl: esa no sabe ni en qué país vive.,197
1,unotv,valevaleriana6942,07/04/2024,"Las personas que hablan más lento, tienen la capacidad de organizar bien sus ideas sin precipitarse a decir todo lo que quieren, se llama seguridad, y claramente se ve quien va preparad@ y quién no",15
1,unotv,erikavazquez9386,07/04/2024,"Que le recuerden a la botarga,el incendio de la guardería de Hermosillo Sonora,y que nunca le ayudaron ni resolvieron..el gobierno de Calderón y peña nieto",25
1,unotv,pattricio1002,07/04/2024,xochitl se la paso atacando verbalmente a ls dos candidatos pero nunca dio propuestas concretas,437
1,unotv,leonscottkennedy9105,07/04/2024,1:59:20 hahahaha se mamo con su lenguaje de señas jajajja,31
1,unotv,CelinaRomanGonzalez-iu2zd,07/04/2024,Becas a los verdaderos estudiantes supervisen a esos estudiantes que tienen becas y no estudian y reciben becas. Y los buenos estudiantes si viven en zonas Centro de la ciudad no tuenen ningun tipo de becas .,13
1,unotv,TrinidadAlvarado-sj9kl,07/04/2024,Lo que dice xochilt de escuelas de tiempo completo y que los niños tengan tabletas los van a hacer más bulnerables ala delincuencia por qué en cuanto vean la realidad que no todo es escuela y no todo es tableta se irían alo más fácil que es la delincuencia nesecitamos escuelas de calidad y no de cantidad de horas  también los maestros tienen que estar con sus familiares,14
1,unotv,jonathancruzleon6972,07/04/2024,Hasta en el debate le ayudan a cochitl en el tiempo,122
1,unotv,Casucia,07/04/2024,En conclusión Denise Maerker gano este debate.,111
1,unotv,pedrobarber23,07/04/2024,"No ponen los cronometros durante todo el debate, deberian ser visibles y ser pausados pero sin quitarlos de pantalla, como sabemos que no les quitan tiempo?",47
1,unotv,misiarredondo1780,07/04/2024,"Una tableta no hace la diferencia, a mi hija le dieron una hace 2 años y aún está en su caja, necesitamos becas también para estudiantes en escuela particular porque no las hay",5
1,unotv,luismi4660,07/04/2024,"Que lástima da Xóchitl, hasta eso Maynez propone",214
1,unotv,sinahirodriguez8732,07/04/2024,"No pudo decir ni una sola palabra sin sus tarjetas, buscando que seguía mientras los otros candidatos hablaban. Que vergüenza da Xochitl",106
1,unotv,baltazarjimenez5801,07/04/2024,Xochil hizo el ridículo y mostró porque está con tres partidos que le hicieron tanto daño al pais incluyendo a xochil que saquéo 140 millones de nuestro erario con una supuesta empresas propiedad de xochil,41
1,unotv,erikrodriguezpaez7178,07/04/2024,"Con regalarle tiempo a Xóchitl y quitarle tiempo a claudia mientras habla Xóchitl ya con eso dicen todo, a quien quieren perjudicar, tienen miedo…!",40
1,unotv,DanielRP-zt4iv,07/04/2024,"Pobre Xochitl... Da pena ajena, pero tiene q atorarle a lo q le le dicen los q la controlan... Pobre señora es lamentable",118
1,unotv,patronajeartesymoda1915,07/04/2024,"Los panelistas del post debate de este canal de Youtube, no disimulan nada el apoyo a Xóchitl, no sé que debate vieron ellos, sus opiniones sesgadas.....",64
1,unotv,alexiscaparroso4751,07/04/2024,"Yo solo pido que quien sea, realmente implemente una beca para universidades por qué a muchos nos cuesta sacar adelante una carrera y más cuando tenemos que viajar para llegar a ella",8
1,unotv,joseluisbeltran3015,07/04/2024,"Acabo de ir al seguro de cuahutemoc aqui en SAN LUIS POTOSI y resulta que la doctora endocrinologa renuncio y no pudieron atender a mi  esposa, quien en Enero de este año tuvo que ir en tres dias y formarse por mas de 7 de horas para conseguir cita. Y como le dieron la cita de laboratorio 3 semanas despues de la cita tuve que pagar en un laboratorio privado sus estudios. No mienta señora de Morena el servicio de IMSS va de mal a peor.",12
1,unotv,gorkasierra7794,07/04/2024,"Maynez (que ni lo conocía antes de este debate) de lejos el más elocuente y preparado para el debate. Por otro lado, una pena esta sección de comentarios, se ve luego luego quien va a votar al candidato por el partido y no por las propuestas. Es triste que nada más se lean críticas en los comentarios, creo que fue más profesional que el del año pasado.",134
1,unotv,MarcoCasadO,07/04/2024,"Xochitl no es opción, le hace falta mucha sustancia para articular un discurso coherente. Comete una gran cantidad de errores en su desempeño público y político. No tiene un discurso personal internalizado que le permita expresarse con claridad, soltura o contundencia. No tiene propuesta.... pertenece a una tradición que le hizo mucho daño al país.... No se desea volver a la decadencia que el PRIAN representa.... Sheinbaum representa el deseo de la mayoría del pueblo mexicano hacia un cambio evolutivo... Debemos seguir exigiendo a todo gobernante resultados y eficiencia en todos los sentidos.",154
1,unotv,miguelcuellar6154,07/04/2024,"Que vergüenza que una candidata como Xochit quiera representar a México, vamos con Claudia….",31
1,unotv,lydejesus5199,07/04/2024,Mmmmm INE se supone que eres transparente y eres confiable como es posible que no puedan cordinar unos cronómetros entonces que pasara con el conteo de votos porque por donde lo quieran ver morena va a ganar  simplemente por que el pueblo confia todvia en ellos,29
1,unotv,graceelvirafz2791,07/04/2024,"Cómo le estuvieron quitando tiempo a Claudia Sheinbaum, que bueno que quedó grabado esto y ojalá se haga el cálculo de cuánto habló Claudia vs lo que le quitaron",250
