num_debate,canal,username,fecha,comentario,num_likes
2,unotv,ReynaKauil-zl5yo,28/04/2024,Xochitl solo se la paso atacando a Claudia,144
2,unotv,dl1370,28/04/2024,"El candidato argumenta mejor y genera propuestas, las otras solo hablan de lo que ellas hicieron según, en el caso de Claudia solo habla de la 4t y el gobierno de amlo",40
2,unotv,geraldinemunguia5030,28/04/2024,"Honestamente la candidata Xochitl parece un completo chiste, solo interrumpe y hace comentarios sin coherencia, debería ser destituida del puesto de candidata, no tiene ni la educación ni los valores para estar en esa posición... Por favor los que la apoyan vean la realidad es totalmente incoherente. Lindo día para todos los Mexicanos.",45
2,unotv,lettysanchezhernandez3787,28/04/2024,Se nota que Chochil salió de una vecindad  no tiene táctica nada que ver con la Doctora Claudia.,85
2,unotv,ponchorp7644,28/04/2024,Da pena ajena X Galvez,81
2,unotv,juliogonzaleztello,28/04/2024,Es obvio que Xochitl trae aparato donde le dicen todo el modo de hablar la delata,61
2,unotv,danielanguiano8036,28/04/2024,Plan c,32
2,unotv,theking8455,28/04/2024,ME LLAMÓ LA ATENCIÓN LA PROPUESTA DE XOCHITL DE QUITAR EL ISR A QUIENES GANEN MENOS DE $15000 AL MES  PERO ¿CÓMO PLANEAN PAGAR LOS PROGRAMAS SOCIALES Y PROYECTOS SI CONSTITUYEN EL 70%?,43
2,unotv,mtcv8083,28/04/2024,"Mientras las comadres se pelean, el único que veo dando propuestas y respondiendo preguntas es a Maynez, yo pensaba votar por Morena, porque en comparación a otros sexenios, estamos mejor, pero sinceramente la mentira del precio de la gasolina y el basar sólo la economía y el desarrollo en los hidrocarburos me hace desconfiar, además del hecho de que que no de respuestas claras. Me gusta la visión mas congruente y a futuro de Maynez, el pensar en el cuidado ambiental y energias limpias que a todos les vale mother... Y si no votamos ni por Chana ni Juana?",28
2,unotv,HallidayASR,28/04/2024,Definitivamente voy con Maynez,51
2,unotv,edithgarcia4713,28/04/2024,"Esa X Gálvez parece un chiste, un pésimo chiste y una broma de muy mal gusto",119
2,unotv,efrainaguilard5878,28/04/2024,"No mientan, la gasolina no a bajado al contrario subió demasiado en Q.Roo cuesta $ 25.79 la magna es el de menor precio.",13
2,unotv,Bubu_Gamer05,28/04/2024,"La chochil nadamás fue a hacer el ridículo de nuevo, en vez de mostrar proyectos y planes para el futuro de México fue a decirle lo mismo de lo mismo a Claudia, queda claro que lejos de ver por el país solo quiere vengarse de las humillaciones que ah recibido por causa de su corrupción y de su ineptitud para el cargo",22
2,unotv,MarthaRamirez-vi6ge,28/04/2024,Maynez y los gobernadores de Monterrey y Jalisco no tienen ningún logro. El presidente fue el que terminó las obras de los trajes y el agua en esos estados.,44
2,unotv,user-lt5od1pm7o,28/04/2024,Ala oposición les duele demasiado que con este sexenio están dando el dinero al pueblo  .....y no se van a sus bolsillos vancarios,45
2,unotv,Villianforxh,28/04/2024,"Gálvez no fue a debatir,fue a tirarle hate a claudia",22
2,unotv,Somek-one,28/04/2024,"En pocas palabras Xochitl, es la definición de vergüenza envidia rencor manipulación y  de muchas mas jajaja se veia bien mal la neta",54
2,unotv,JoshTrue-xt9bf,28/04/2024,Claro que xochitl fue mas xochitl..... Mas lavandera de barrio y cero propuestas realistas,54
2,unotv,marijozroldan6186,28/04/2024,Eso de quitar impuestos a quien gane menos de 15mil se me hace una oportunidad a todos los corruptos para condonar impuestos,23
2,unotv,lorenaguadalupegarcia6367,28/04/2024,la gasolina ya aumentoo en meses lo que no subio en añoos,9
