num_debate,canal,username,fecha,comentario,num_likes
3,imagentv,OpinionDirecta,19/05/2024,"jajaja Maynez pregunta como fue la infancia de un secuestrador en el min 50:15, preguntale a Cochitl su HERMANA ES SECUESTRADORA",26
3,imagentv,adrianyescas3278,19/05/2024,"Así piensa Xochitl representar a México en las Naciones Unidas, con cartelitos estúpidos?",58
3,imagentv,josefranciscocamarabocaneg2273,19/05/2024,"Yo no veo ningun proyecto de nación ni propuestas constructivas de xóchitl galvez, mas bien veo puro atacar a la proxima presidenta claudia sheinbaum!!",25
3,imagentv,gloriabasto6470,19/05/2024,"Esta vez el INE más laxo y parcial pues no.le llamó la atención a la botarga con el cartelito que groseramente exhibió. Ahh pero no vaya siendo Claudia porque ahí sí hay imparcialidad, ridículos, comenzando con la Chochitl.",18
3,imagentv,adrianyescas3278,19/05/2024,"Es cierto no fueron acarreados, fueron pagados, $500 si llevas a 6 personas, $1000 si llevas a 10 personas a la marcha rosada de la colina.",19
3,imagentv,normaibarra6662,19/05/2024,Claudia es la Johnny Depp..  no voltea ver a Xóchitl como Johnny Depp no volteaba a ver a Amber Heart cuándo estaban en el juicio. Lol,9
3,imagentv,runrafarunthebestintheworld,19/05/2024,Wow que debate. Yo digo que solamente perdio Xochitl. Maynez attacko el partido de Xochitl y también Claudia. Los dos hicieron un buen trabajo.,19
3,imagentv,AntonioLopez-di4lo,19/05/2024,"Voy con Maynez, pero Xochitl tiene tanta razón cuando dice que Claudia miente, usa la misma estrategia que el presidente ""Yo tengo otros datos""",10
3,imagentv,pedrobautista1049,19/05/2024,Xochitl no la iso no tubo propuesta puro repetir lo mismo,18
3,imagentv,andrealiramendez3538,19/05/2024,"Porque Xochitl se la pasa repitiendo todo??? Que flojera, que aburrido estar viendo lo mismo, así no va a avanzar la cochi.",16
3,imagentv,elenaperez657,19/05/2024,"Que flojera con la doña, lo único que hizo fue hecharle  a Claudia, y así quiere ganar",16
3,imagentv,user-ef9op6bi5i,19/05/2024,"En relación a la señora Claudia, poco a poco fue adquiriendo mayor confianza y seguridad; la señora Xóchitl quiso pero no logró inquietarla y el señor Maynez aprovechó sus oportunidades pero sólo criticó a la representante del PRI-PAN y ni por equivocación cuestionó a la otra candidata. Gracias.",8
3,imagentv,JuanHernandez-ub1kw,19/05/2024,Candidata calumnias! O sea la del  prian  !! La q miente se ve en el espejo!!,12
3,imagentv,AlanGarcia-iy8jb,19/05/2024,"46:05 Maynez no quiere gente que fuma marihuana en la cárcel y me parece bien, dice que quiere a los extorsionadores, a los que cometen homicidios y secuestradores pero entonces no quiere a los narcotraficantes en la cárcel ósea que entonces a esas personas que venden droga no les quiere hacer nada ? Porque la principal causa de estos delitos son las personas que se drogan  en la mayoría de los corridos lo dicen “un pase, polvito blanco, y listos para matar” algo anda raro",4
3,imagentv,wolfshein,19/05/2024,"Esa Xochitl acusando con un libro que ella mismo dijo no haber leído más que el ultimo capítulo, jajajajaja",7
3,imagentv,karla2607,19/05/2024,Xóchitl deja de atacar y da propuestas,21
3,imagentv,user-ob9ht8cg7l,19/05/2024,Esta sra Xochitl no dice como y como solucionará los programas y dejar de decir mentiras,9
3,imagentv,leonardorter5098,19/05/2024,Yo tengo una pregunta porque xochitl no se descubre las orejas,9
3,imagentv,CATASUITES,19/05/2024,"Maynez el unico que da propuestas y soluciones ... Galvez solo critica y Claudia solo habla que ella tiene otros datos, no habla como terminar con la delincuencia, yo voy con Maynez",7
3,imagentv,normaibarra6662,19/05/2024,No sé por qué tengo la intuición que la X sacaba números a lo pendejo,7
3,imagentv,irenecarballodominguez4739,19/05/2024,La botarga no asia otra cosa es boltear a ver a la dra claudia denle una foto de la dra y recuerden mexicanos que este 2 de junio todos con morena,8
3,imagentv,miguelvazquezandres9149,19/05/2024,Todo mi apoyo a Claudia Sheinbaum,31
3,imagentv,grupoescopionelvenenomusic7589,19/05/2024,"Es una verguenza para Mexico tener una candidata del PRIAN que no  aprendió nada en la escuela para que queremos esa señora que no tiene carácter político lo que sabe es atacar sin propuestas, mi  respeto para CLAUDIA con esa profecionalidad en su postura política.",5
3,imagentv,carolinasanchezvillagrana6785,19/05/2024,Ya se dieron cuenta que Xóchitl no sabe hablar?,2
3,imagentv,carloschavez113,19/05/2024,"Xochitl practicamente repitio lo mismo del debate pasado, Maynez avienta propuestas que suenan bonitas, y Claudia suena a la mas realista, las cosas como son.",8
3,imagentv,juliovidal2290,19/05/2024,Como se llama la pelicula al inicio del video...,1
3,imagentv,dagae.d.c4655,19/05/2024,Presidente maynes,12
3,imagentv,grupoescopionelvenenomusic7589,19/05/2024,Le pido a Cochitl por su forma de expresar que renuncie antes de la votación porque va a ser un desastre pueda que pierda su registro del PRIAN,5
3,imagentv,emmanuelmartinez9759,19/05/2024,"Qué falta de respeto que hablen así de la seguridad pública. La.única solución es la salud mental las infancias, una mente SANA no consume sustancias.",7
3,imagentv,giogio9439,19/05/2024,"Cuando xochilt llego al debate, aqui es el pleito de lavadero? si pasele marchancita, cuando Claudia llego, aqui es el debate presidencial? si, pasele Dra.",1
3,imagentv,Arturo-xr9oe,19/05/2024,Quién ganó el debate residencial,0
3,imagentv,normaibarra6662,19/05/2024,"Me encanta como la X cuando dice una pendejada voltea a ver a Claudia, y Claudia ni encuenta ja ja ja",5
3,imagentv,christianmaltos6391,19/05/2024,Por que no tocaron el tema de la gentrificacion?? De ponerle visas y cobrar impuestos a los extranjeros??,4
3,imagentv,feralmaguer1720,19/05/2024,Jorge tu manera de responder es impresionante Eres el que esta mejor preparado DECEO DE TODO CORAZÓN QUE GANES LA PRESIDENCIA DE MÉXICO,11
