"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado"
"2.0","unotv","lourdesguillen4002","28/04/2024","Con Claudia sera lo mismo, de abrazos y no balazos!! Tremendo comentario de este presidente! Esta mujer es una marioneta de el. Y tal vez va a ser peor! Yo en serio estaba superfeliz cuando este hombre gano.  Pero, que decepcion!","7.0","con claudia sera lo mismo,de abrazos y no balazos!!tremendo comentario de este presidente!esta mujer es una marioneta de el.y tal vez va a hacer peor!yo en serio estaba superfeliz cuando este hombre gano.pero,que decepcion!"
"2.0","unotv","daiigh9760","28/04/2024","""¿Pog qué?""","0.0","""¿pog qué?"""
"2.0","unotv","chuy-vh6qi","28/04/2024","Creo que es una falta de respeto y que la dejen sacar cartocitos como el de miente","6.0","creo que es una falta de respeto y que la dejen sacar cartocitos como el de miente"
"2.0","unotv","user-ji7ew1jo7s","28/04/2024","Me gustaría saber algunas cosas de cada partido de lo que no se habla durante el debate  Xochitl Gálvez: porque no hicieron todo lo que hablan en tantos años que duró sus partidos en el gobierno  Claudia sheinbaun: porque el presidente actual decreto una ley donde si mi casa tiene 7 habitaciones y solo vivimos tres personas en ella me veré obligado a donar parte de mi casa a gente desconocida sin cobrarles renta ??  Mainnes : el representante de su partido en Guadalajara dejo a mucha gente sin trabajo en Guadalajara, cuando les quitó sus puestos en la zona centro y cuando pasaba algo en México siempre coincidía con sus viajes al extranjero y eso qun es un misterio","1.0","me gustaría saber algunas cosas de cada partido de lo que no se habla durante el debate xochitl galvez:porque no hicieron todo lo que hablan en tantos años que duró sus partidos en el gobierno claudia sheinbaum:porque el presidente actual decreto una ley donde si mi casa tiene 7 habitaciones y solo vivimos tres personas en ella me veré obligado a donar parte de mi casa a gente desconocida sin cobrarles renta??maynez:el representante de su partido en guadalajara dejo a mucha gente sin trabajo en guadalajara,cuando les quitó sus puestos en la zona centro y cuando pasaba algo en méxico siempre coincidía con sus viajes al extranjero y eso que es un misterio"
"2.0","unotv","mirnabracamonteshernandez6681","28/04/2024","Quisiera saber en que gasolinera donde dice que no ha subidp la gasolina","1.0","quisiera saber en que gasolinera donde dice que no ha subidp la gasolina"
"2.0","unotv","user-if9yr6uw6n","28/04/2024","Prometer no empobrece  Les aviso las empresas pagan los salarios  Lsa pensiones del IMSS de 3,000 mensuales tengo 62 años un chico con autismo de 26 años me dedique a cuidar de mi abuelita y ahora de mi madre con demencia y su esposo enfermo y no puedo trabajar por eso y no recibo ayuda del gobierno porque no cumplo la edad y el dinero que reciben mis viejitos es de ellos y que lo disfruten como quieran  Estos señores no conocen el costo de vida Xóchitl tu decías que contratáramos seguro de gastos médicos que a ti te costaba 170,000 mensuales y que si nos uniéramos entre varias personas tal vez podríamos contratarlos por 50,000  Claudia el pueblo sufre con la delicuescencia y ustedes voltean a otro lado Maynez vuelvo a decirte prometer no empobrece","0.0","prometer no empobrece les aviso las empresas pagan los salarios las pensiones del IMSS de 3,000 mensuales tengo 62 años un chico con autismo de 26 años me dedique a cuidar de mi abuelita y ahora de mi madre con demencia y su esposo enfermo y no puedo trabajar por eso y no recibo ayuda del gobierno porque no cumplo la edad y el dinero que reciben mms viejitos es de ellos y que lo disfruten como quieran estos señores no conocen el costo de vida xochitl tu decías que contratáramos seguro de gastos médicos que a ti te costaba 170,000 mensuales y que si nos uniéramos entre varias personas tal vez podríamos contratarlos por 50,000 claudia el pueblo sufre con la delicuescencia y ustedes voltean a otro lado maynez vuelvo a decirte prometer no empobrece"
"2.0","unotv","RICAPERRO1","28/04/2024","Cualquiera que gane menos la Xochitl jajaja","2.0","cualquiera que gane menos la xochitl jajaja"
"2.0","unotv","ivanrayon19","28/04/2024","maynez mi respeto al aguantar tanto show!","1.0","maynez mi respeto al aguantar tanto show!"
"2.0","unotv","catalinapriscilianoavilez4464","28/04/2024","Arriba de los sembrando vida gracias al gobierno de México es el mejor programa","0.0","arriba de los sembrando vida gracias al gobierno de méxico es el mejor programa"
"2.0","unotv","evapacheco6136","28/04/2024","A esa mujer Xochitl ya se le olvidó que los del PRI siempre pidieron dinero prestado para cualquier situación que tuviera este hermoso país. La señora de las mentiras y difamadora es ella Xochitl Gálvez","6.0","a esa mujer xochitl ya se le olvidó que los del pri representado por xochitl siempre pidieron dinero prestado para cualquier situación que tuviera este hermoso país.la señora de las mentiras y difamadora es ella xochitl galvez"
