"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado","Claudia","Maynez","Ninguno","Xóchitl"
"1","unotv","ArianaDenisse1234","07/04/2024","Los debates con AMLO eran de otro nivel jejeje ricky Riquin canallin","1","los debates con amlo eran de otro nivel jejeje ricky riquin canallin","","","",""
"1","unotv","inactive6833","07/04/2024","Morena sigue siendo el pri,teniendo a candidatos expriistas,no se que penso morena en darles una oportunidad,mejor votar por quienes no han gobernado,movimiento ciudadano","1","morena sigue siendo el pri representado por xochitl,teniendo a candidatos expriistas,no se que penso morena en darles una oportunidad,mejor votar por quienes no han gobernado,movimiento ciudadano","","","",""
"1","unotv","greensmoke2524","07/04/2024","Creo que si samuel no se hubiera bajado el seria el próximo presidente","26","creo que si samuel no se hubiera bajado el seria el próximo presidente","","","",""
"1","unotv","luisalfredoescalantevalenz1074","07/04/2024","Mainez","18","maynez","","","",""
"1","unotv","chelitochelito8210","07/04/2024","Pésimos estos 2s conductores, preguntas, que van a través de la televisa, y tv azteca,,escojiendo estos mismos conductores las preguntas a sus intereses que el pueblo hizo para los candidatos candidatos,","2","pésimos estos 2s conductores,preguntas,que van a través de la televisa,y tv azteca,,escojiendo estos mismos conductores las preguntas a sus intereses que el pueblo hizo para los candidatos candidatos,","","","",""
"1","unotv","user-tc8yj2rw3l","07/04/2024","Que descaro xochitl diciendo que es más falso que su asentó","1","que descaro xochitl diciendo que es más falso que su asentó","","","",""
"1","unotv","graphicdreamsmex9065","07/04/2024","Que flojera de debate, aprendan de Nayib Bukele, ustedes nada mas se atacan entre ustedes sin soluciones,","7","que flojera de debate,aprendan de nayib bukele,ustedes nada más se atacan entre ustedes sin soluciones,","","","",""
"1","unotv","soyespecial66","07/04/2024","pero sí,ella salió adelante vendiendo gelatinas no pq ""estudió"" en la uni becada","9","pero sí,ella salió adelante vendiendo gelatinas no porque""estudió""en la uni becada","","","",""
"1","unotv","Gunybuny27","07/04/2024","Esa botarga solo salio a atacar con puro chisme y mentiras a claudia y el maynez paquio es un alumno de Canaya canayin hejjejejejeje","1","esa botarga solo salio a atacar con puro chisme y mentiras a claudia y el maynez paquio es un alumno de canaya canayin hejjejejejeje","","","",""
"1","unotv","LuisMora-qj9uo","07/04/2024","Ya empezó robando el tiempo la botarga ahora si llega al poder ay no que /","2","ya empezó robando el tiempo la botarga ahora si llega al poder ay no que/","","","",""
"1","unotv","avercity2093","07/04/2024","Es penoso que quieran quitar el efectivo ganando tan poco las personas.","4","es penoso que quieran quitar el efectivo ganando tan poco las personas.","","","",""
"1","unotv","madaicojoo2041","07/04/2024","Chale a estás alturas ya no se puede decir ""votar por el menos peor"" realmente es lamentable a manos de quienes se maneja el país, solo serán títeres.","5","chale a estás alturas ya no se puede decir""votar por el menos peor""realmente es lamentable a manos de quienes se maneja el país,solo serán títeres.","","","",""
"1","unotv","elizabethreyes8129","07/04/2024","De nada le sirvió tener más tiempo si ni si quiere está preparada para hablar menos para ser presidenta solo atacó sin dar propuestas y paso a cajetearla con el escudo de la bandera al revés si quería ganar el prian tenía que haber puesto algo bien no esa señora que ni dando lástima ganara","2","de nada le sirvió tener más tiempo si ni si quiere está preparada para hablar menos para hacer presidenta solo atacó sin dar propuestas y paso a cajetearla con el escudo de la bandera al revés si quería ganar el prian representado por xochitl tenía que haber puesto algo bien no esa señora que ni dando lástima ganara","","","",""
"1","unotv","wendolylinares9918","07/04/2024","La bandera al revés del país que ama  pena ajena!!!!!!","1","la bandera al revés del país que ama pena ajena!!!!!!","","","",""
"1","unotv","estelaperez8031","07/04/2024","Gano Claudia","15","gano claudia","","","",""
"1","unotv","Casucia","07/04/2024","Maynez sirvió, para mí, el ganador del debate.","49","maynez sirvió,para mí,el ganador del debate.","","","",""
"1","unotv","carlossalazarmartinez8218","07/04/2024","Bueno como cortaron lo del caso repsamen y linea 12 me voy a investigar, gracias por poner la duda.","0","bueno como cortaron lo del caso repsamen y linea 12 me voy a investigar,gracias por poner la duda.","","","",""
"1","unotv","JorgeMorales-gn4ux","07/04/2024","Que se investigue ella misma!!!","1","que se investigue ella misma!!!","","","",""
"1","unotv","rodrigopena9274","07/04/2024","Claudia. Próxima presidenta","40","claudia.próxima presidenta","","","",""
"1","unotv","Angelcastro16164","07/04/2024","Antes que votar por Xochitl, votaria mil veces mejor por Maynez","42","antes que votar por xochitl,votaria mil veces mejor por maynez","","","",""
