User,arroba,hora de publicación,publicación
Brenda Caballero,@BrendaC92067594,28m,"#EsClaudiaPresidentaDeMéxico #EleccionesMéxico2024 #YaVoté Vamos por Morena!! A Ganar 🥰😉♥️"
El Tapatío Agrio 🇲🇽,@AgrioTapatio,28m,"CHTPM Morena #EleccionesMéxico2024 #YoVotéPorXochitl #XóchitlGálvezPresidenta #YaSeVanHDSPM #"
Mendoza Raziel🤠,@__RazielMendoza,29m,"Hace 6 años fueron mis primeras elecciones & ahora 6 años después... a seguí apoyando la #CuartaTransformación 👌🏼 #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"
Libertario Morelos,@Antonio58808325,29m,"#YoVotéPorXóchitl #XóchitlGálvezPresidenta #NarcoPresidenteAMLO80 #EleccionesMéxico2024 ALV MORENA"
Ricardo Ojeda Ramírez 🏈 ✈️🎮 🚘 🐱 🇲🇽🇲🇽🇲🇽,@richarko,29m,"Ya ejerci mi derecho #EleccionesMéxico2024 #YoVotéPorXóchitl"
♓⭐🍒 Bárbariux  🍒⭐❤&💫,@Vivalyk,31m,"#EleccionesMéxico2024 #XochitlGálvezPresidentadeMexico 🫰🏻🫰🏻🫰🏻 En este hogar ya cumplimos con el deber. 🤗🫰🏻🙏🏻"
Alix Yuliana,@AlixYuliana8,33m,"Esto es un #fraude 4 horas haciendo fila en el consulado y solo dejan pasar personas de 60+ a votar porque saben que son los únicos que votan por la mierda de morena #fueramorena #EleccionesMéxico2024 #XóchitlGálvezPresidenta"
tesfaye,@smelissatv,34m,"#EleccionesMéxico2024 #XóchitlGálvezPresidenta"
Iván M.,@NavimoOfoO,34m,"Ya vote #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico #ClaudiaPresidentaDeMéxico2024 😀"
Hiram Mendoza,@JHMendozza,36m,"Yo si cumplí #EleccionesMéxico2024 #XochitlGálvezPresidente24"
julio olivares,@valceasr,37m,"#EleccionesMéxico2024 listo a darle continuidad a la 4t de @lopezobrador_ a seguir haciendo historia con @ClaraBrugadaM y @Claudiashein"
Ricardito,@RicarditoAnaya,38m,"Mi voto fue por Xóchitl Gálvez #XochitlGálvezPresidenta #EleccionesMéxico2024"
Iñaki Levy,@ElPoderdelaInfo,38m,"¡LISTO! Vota Todo Morena 😏👍 Ahora sí, vamos por el Plan C, desde el PREP se verá el avasallador Triunfo de #ClaudiaPresidentaDeMéxico ¡Viva MÉXICO! 🇲🇽 Y VIVA el segundo piso de la 4ta Transformación 👏😃 #EleccionesMéxico2024"
David Contreras,@daco_eli,39m,"#EsClaudiaPresidentaDeMéxico #EleccionesMéxico2024"
Antigansoganso,@antigansoganso,39m,"Adiós a Todo Morena #CHASPM #EleccionesMéxico2024 #CuentenleBien #CuentenleBien #XóchitlGálvezPresidenta"
Felipe Sahuaya,@FSahuay,39m,"#EleccionesMéxico2024 #XoxhitlGálvezPresidente2024 #Fueramorena"
Alondra Álvarez,@alvarez_al98,40m,"#EleccionesMéxico2024 #VotoPorMéxico #XóchitlGálvezPresidenta"
Fernando,@Fernand06932502,41m,"#Plan_C va #EleccionesMéxico2024 #Ya_Gano_Claudia"
Federico Steck,@Fedsteck,41m,"Amor con amor se paga. #EleccionesMéxico2024 @Claudiashein #ClaudiaArrasará #ClaudiaPresidentaDeMéxico"
Sir Blacksea 🇲🇽,@blacksea777,41m,"LISTO!!! #XochitlGálvezPresidenta24 #EleccionesMéxico2024 #YoYaVotéPorXochitl"
Miguel Blanco,@Lord_Blanco,42m,"Llevaba 6 años esperando el 02 de Junio. @Pepe_Yunes Gobernador de #Veracruz #EleccionesMéxico2024 #XóchitlGálvezPresidenta"
Ramón Alvarez 🇲🇽,@ReymonflowMusic,43m,"Debido a que ningún candidato en la contienda presidencial representa mis valores y principios, e decidido votar por @EVerastegui como candidato no registrado, pues el único que representa mis valores, principios e ideales políticos. #YaVoté #EleccionesMéxico2024"
Samuel Sta Rosa S.,@SAMUELSTARSZ,46m,"Replying to @catrina_nortena and @Claudiashein #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico"
La Santa 💙,@FatimaXCid,46m,"México libre y para los mexicanos 🇲🇽#XochitlGálvezPresidenta24 #YoVotarePorXóchitl #EleccionesMéxico2024"
