User,arroba,hora de publicación,publicación
Angel Rivera, @angelrivera, None, "No se cansan de robar y creen que seguirán los de Xochitl,,, Gana Claudia sin corrupción ni robo !!!"
Ricardo Barrios, @ricardobarrios, None, "va ganar claudiaaa!!"
Sergio Montiel Rivas, @sergiomontiel, None, "amo a Claudia"
Rosa Sánchez, @rosasanchez, None, "viva Xochitl"
Edyan Arce Ortíz Benítez, @edyanarce, None, "vamos Xochitl"
ANA VALLE, @anavalle, None, "si Gana Claudia, solo quiero decirles que aprovechen al máximo sus cosas, porque para el 2025 todo lo que tengas le pertenecerá al Gobierno 🗣"
LEmON_BArK, @lemon_bark, None, "ya ganó claudia muchachos"
Julio Gómez, @juliogomez, None, "Fuera el partido verde📣📣📣📣📣"
Guadalupe González, @guadalupegonzalez, None, "¡YA DIGAN POR FAVOR NO QUIERO NECESITO SABER! 🧡🧡🧡🧡"
Yolanda Reyes, @yolandareyes, None, "PRESIDENTA PRESENTA PRESIDENTA 💪🇲🇽 CLAUDIA ❤❤❤❤❤❤❤"
Luis Angel, @luisangel, None, "GANO CLAUDIA VAMOOOOO"
Jesús Ismael Urrea Vazquez, @jesusismael, None, "alv pensé que Maynez Hiba a estar en segundo lugar"
Shyru, @shyru, None, "ya ganó Claudia?"
Emma, @emma, None, "y pensar que dentro de un año vamos a vivir como Los Cubanos en un país comunista"
Angel Rivera, @angelrivera, None, "VIVA MORENA"
MICHELLE CG, @michellecg, None, "FUERA MORENA QUE HOOOOORRROOOOOR"
KOMGOMS, @komgoms, None, "Viva claudia🫦🫦🫦🫦"
☆Jojo☆, @jojo, None, "VAMOS CLAUDIAAA"
Vanessa Castillo, @vanessacastillo, None, "es en serio que se emocionan por Claudia, están bien pendej0s, pero ni modo la inteligencia los persigue pero ustedes son más rápidos"
Shyru, @shyru, None, "YA GANO CLAUDIA?"
Rosa Sánchez, @rosasanchez, None, "por el bien de México que gane Xochitl"
Luis Angel, @luisangel, None, "GANO CLAUDIA VAMOOOOO"
Mikishima, @mikishima, None, "fuera los morenos"
Edyan Arce Ortíz Benítez, @edyanarce, None, "viva Xochitl"
Sara☆, @sara, None, "Arriba PRI-CHOS💋🫦"
ANA VALLE, @anavalle, None, "Ya quiero verlos diciendo 'Viva Claudia' cuando México se vaya ALV 😍"
KOMGOMS, @komgoms, None, "Eso mi chiquistrikis, vamos contigo claudia🫦🫦🫦🫦🫦"
☆Jojo☆, @jojo, None, "VAMOS MORENA"
Edyan Arce Ortíz Benítez, @edyanarce, None, "vamos xoxhil"
Clickclack wimwam, @clickclack, None, "Claudia ganó desde que se postuló"
Jesus Alejandro Torres naranjo, @jesustorres, None, "Vamos claudia"
Rosa Sánchez, @rosasanchez, None, "viva Xochitl"
☆Jojo☆, @jojo, None, "VAMOS MORENA"
Luis Angel, @luisangel, None, "GANO CLAUDIA VAMOOOOO"
Guadalupe González, @guadalupegonzalez, None, "Va perdiendo Máynez 🫣🧡"
Angelcaido, @angelcaido, None, "CLAUDIA NOS TRAJO A INTERPOL"
Brian Rodriguez Manuel, @brianrodriguez, None, "todos los municipios del estado de Veracruz, va ganando morena!!! El PRIAN no sabe jugar limpio🤬"
Eternal_ Yael, @eternalyael, None, "los morenistas necesitan el dinero sin trabajar"
David De La Torre 369, @david369, None, "YA GANO MORENA"
TBC BlissWarrior, @tbcblisswarrior, None, "EMPRESARIOS NO QUIEREN PAGAR IMPUESTOS Y VOTAN POR XÓCHILT"
Angelcaido, @angelcaido, None, "CLAUDIA GANÓ LA GENERACIÓN 🐀💎"
Rosario Elias, @rosarioelias, None, "estamos contigo Xochitl"
Marcusmonkey2000, @marcusmonkey2000, None, "Maynez ganando 😍🧡"
Rosa Sánchez, @rosasanchez, None, "si ya huele a fraude"
Emma, @emma, None, "voto por un país capitalista y no socialista"
CALEEXX YT, @caleexxyt, None, "VIVAS CLAUDIA 🇲🇽🤎🇲🇽🤎🇲🇽🤎🇲🇽🤎"
David De La Torre 369, @david369, None, "LLOREN XOCHILOVERS JAJAJAJAJAJAJ"
Tony Pixtex, @tonypixtex, None, "Que gane Maynez"
Marcusmonkey2000, @marcusmonkey2000, None, "Maynez Maynez 🧡 ya ganó"
Victor SA, @victorsa, None, "si gana Xóchitl me voy a poner en criogenización"
Bian Barcena, @bianbarcena, None, "Arriba Xochilt"
CRISTY, @cristy, None, "GANÓ CLAUDIA"
Holaaaa, @holaaaa, None, "arriba Xóchitl 💙💙💙💙"
Yañez Galván Marco Antonio, @yanmarco, None, "Maynez🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡"
Rosa Sánchez, @rosasanchez, None, "Ami se fue el sueño con pensar que pasaría si gana Claudia"
chocomilk, @chocomilk, None, "Xóchitl te queremos pero fuera del país"
Ergo Proxy, @ergoproxy, None, "no se preocupen por Xóchitl vaya se hace más rica vendiendo gelatinas"
Quirino Hernández David Santiago, @quirinohdavid, None, "CLAUDIAAAAAAA"
Quirino Hernández David Santiago, @quirinohdavid, None, "ES CLAUDIAAAAAAA"
Fer345, @fer345, None, "xochitla tu puedes"
Sofi Hernández, @sofihernandez, None, "biba Claudia"
Jazmín Jiménez Becerril, @jazminjimenez, None, "Va hacer fraude por saturación y ganará Xóchitl"
Parota Perez, @parotaperez, None, "claudia presidenta"
Quirino Hernández David Santiago, @quirinohdavid, None, "CLAUDIA PRESIDENTA"
CRISTY, @cristy, None, "GANÓ CLAUDIA"
Holaaaa, @holaaaa, None, "arriba Xóchitl 💙💙💙💙"
Yañez Galván Marco Antonio, @yanmarco, None, "Maynez🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡"
Rosa Sánchez, @rosasanchez, None, "Ami se fue el sueño con pensar que pasaría si gana Claudia"
chocomilk, @chocomilk, None, "Xóchitl te queremos pero fuera del país"
Ergo Proxy, @ergoproxy, None, "no sé preocupen por Xochitl vaya se hace más rica vendiendo gelatinas"
Quirino Hernández David Santiago, @quirinohdavid, None, "CLAUDIAAAAAAA"
Sabrina Rocky, @sabrinarocky, None, "pan💙💙💙💙💙💙"
FERNANDO Ponce, @fernandoponce, None, "ganó Claudia"
Christian Michel Valdez Ibarra, @christianvaldez, None, "MAYNEZ VA A GAANR, AHORITA REMONTA WEY"
Fabiola Ramirez, @fabiolaramirez, None, "Marisol Domínguez presidenta"
Gaticristo-2009, @gaticristo2009, None, "CREO EN TI CLAUDIA HASTA EL FINAL"
HORUS, @horus, None, "xochil presidenta pero del circo atayde hermanos"
till manson, @tillmanson, None, "Marisol Domínguez Presidenta ❗❗❤"
Bienes Raíces - Bloxburg, @bienesraices, None, "VAMOS XÓCHITL !🙏🏻🙏🏻"
Hisoba, @hisoba, None, "QUE TRISTE QUE MIS HERMANOS MEXICANOS PIENSEN QUE LA IZQUIERDA ES LA SOLUCION, LO VAMOS A PAGAR MUY CARO. LA IZQUIERDA SOLO TRAE POBREZA 🥲🥲🥲"
Christian Michel Valdez Ibarra, @christianvaldez, None, "MAYNEZ VA A GAANR, AHORITA REMONTA WEY"
Alain Mora, @alainmora, None, "CLAUDIA!!!"
fátima sc, @fatimasc, None, "Si gana Claudia, estas votaciones van a ser un fraude"
Gaticristo-2009, @gaticristo2009, None, "HASTA EL FINAL CLAUDIA VAMOS VAMOS"
Mafer Muval, @mafermuval, None, "QUE VIVAN CAIFANES Y MI PRESIDENTA CLAUDIA 🗣"
Majo Garrido, @majogarrido, None, "Si gana Xóchitl pido asilo político en otro país 💀"
Kevin Antonio, @kevinantonio, None, "gano Claudia"
Ailed RM, @ailedrm, None, "VAMOS CLAUDIAAAAA❤"
Marcusmonkey2000, @marcusmonkey2000, None, "Maynez remontada 🧡"
Gaticristo-2009, @gaticristo2009, None, "SI GANA XOCHITL ME LARGO DE MEXICO"
Mayte Arancivia, @maytearancivia, None, "vamos Claudia"
Chrisaurus YT, @chrisaurusyt, None, "VAMOS MAYNEZZZZZZ"
Christian Michel Valdez Ibarra, @christianvaldez, None, "VAMOSSS MAYNEZ DEMUESTRA LO QUE PUEDES DAR A MEXICOOOOOOOOOOO!!"
Mafer Muval, @mafermuval, None, "CLAUDIAAAAAA 🗣"
Leslie G. Herrera S., @leslieherrera, None, "Maynez es mi pastor y nada me faltará, vamos Maynez ya solo te faltan 92mil votos y rebasamos a Cheimbaun"
S. Ancestral, @sancestral, None, "grande Claudia"
Mikishima, @mikishima, None, "Morena tu cola🔥🔥🔥🔥"
PoisonedDollitaa, @poisoneddollitaa, None, "MARISOL DOMÍNGUEZ PRESIDENTA ❗❗❗❗"
Luis Contreras, @luiscontreras, None, "CLAUDIA !!!!!"
Jonathan Espinoza, @jonathanespinoza, None, "vamos con todo Claudia tijuana esta contigo"
Marcy♡, @marcy, None, "🔴VIVA CLAUDIA 🔴"
Sebastian Lazarin, @sebastianlazarin, None, "PURO POBRE VOTA POR MORENA"
