User,arroba,hora de publicación,publicación
LEÓN 🦁,@RafaRosasRivera,13:54,"""Ya cumplí yo... #YoVotéPorXóchitl #VotoÚtilXMéxico #EleccionesMéxico2024"""
nana,@sugarincandyz,13:53,"""Voto por un México que sea lo suficientemente estable para que nct siga viniendo y bts venga en 2025 🩵🩷 #EleccionesMéxico2024 #XochitlGálvezPresidenta2024 #YoVotéPorXochitl"""
Kid Charlemagne,@kidcarlomagno_,13:53,"""En respuesta a @AlvarezMaynez - Escucha Maynez, no voy a mentirte: es posible que ganes la presidencia, pero... debes visualizar cómo vas a ganar. “Maynez gana la presidencia de México porque los simpatizantes de Xóchitl y Claudia perdieron su INE”. #EleccionesMéxico2024"""
rodrys,@paparuchas1,13:52,"""#EleccionesMéxico2024 FUERA MORENA."""
Anas Zahid,@Anus80621013,13:52,"""YoVotéPorXóchitl las filas en casillas dicen que ya ganamos.💥💥💥💥 #EleccionesMéxico2024 #YoConXóchitl"""
Armando Regil,@armando_regil,13:51,"""Si esperamos 6 años para este día… Qué importa esperar unas horas haciendo fila. ¡¡Todo es por nuestro querido México!! ¡¡¡Mi voto es para ti querida @XochitlGalvez ,sé que serás una gran presidenta!!! #VotarEsDeChingones"""
Amir Ibrahim,@AmirIbrahimQRoo,13:51,"""Logró desbloqueado por morena #EleccionesMéxico2024 ¡Vamos México!"""
Francisco Loretto,@lorettofran,13:50,"""Con la esperanza, dignidad y memoria histórica por delante votamos para seguir Transformando la vida de millones de personas."""
Max,@maxculero,13:48,"""Aysta su voto, hágame mi transferencia. #EleccionesMéxico2024 #YoVotéPorXóchitl"""
Heidi Parra 🍉,@HeidiPJmz,13:48,"""Que siga la transformación de este hermoso país 🇲🇽 #EleccionesMéxico2024 #VotoTodoMorena #QueSigaLa4T"""
Obsidiana La Gitana,@OvejaPrieta,13:47,"""3 hrs en la fila de la #casilla, menos mal me fui sombreruda y con la mamalona de la izquierda brasileña ""Ninguém solta a mão de ninguém"" y como diríamos los #MexicanosAlGritoDelVoto ""Nadie suelta la mano de nadie"" SE LOGRÓ #PlanC #ClaudiaPresidentaDeMéxico #EleccionesMéxico2024"""
Danni Madrid,@DENNISE2201,13:47,"""#EleccionesMéxico2024 #niunvotoamorena #YoVotéPorXóchitl"""
Don Perfecto,@Letrologo_,13:47,"""Así se ve la 4T #EleccionesMéxico2024 #Jalisco #EsClaudiaPresidenta2024"""
Enriqe Morales,@EnriqeMorales,13:47,"""Elijo creer 💙🩵 #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Henrry Mtz,@isaenrimtz,13:46,"""Seguimos haciendo historia, en el 2018 con @lopezobrador_ en el 2024 con la Dra @Claudiashein, 5 de 5, todo MORENA #EleccionesMéxico2024"""
oscar almeyda,@almeidam10,13:45,"""Como Dirían en @lacasadelosf “Mi voto es por estrategia” 🤣🤣🤣 #EleccionesMéxico2024 #XochitlGálvezPresidenta #MorenaDestruyendoMexico"""
Ery,@MendozaYezavel,13:44,"""#YoYaVotéPorXochitl #SantiagoTaboadaJefedeGobierno #EleccionesMéxico2024 Porque quiero un mejor México y porque confío en ustedes. ¡Vamos México!"""
Alex Picazo 🦖,@AP_MX_,13:44,"""Mi voto para estas elecciones 2024 es para….. @AlvarezMaynez 🧡 #EleccionesMéxico2024 #EleccionesMX2024"""
E S A Ú,@EsauBeck,13:42,"""Está hecho! 🇲🇽👍 #EleccionesMéxico2024 #SigamosHaciendoHistoria"""
Joshua Mellado,@JoshuaMellado08,13:42,"""#EleccionesMéxico2024 #XóchitlGálvezPresidenta #YoVotéPorXochitl"""
Oscar,@eseweyx,13:42,"""Más que un voto para Xochitl, es un voto para parar la estupidez que están haciendo los de Morena #EleccionesMéxico2024 #EleccionesMéxico"""
Christian Hernández,@Christian_1954,13:41,"""—Oye ¿ y #Morena ? —En la gorra de un naco. #EleccionesMéxico2024 #2dejunio"""
Madoka Tab 🥶,@Madokaby,13:41,"""#EleccionesMéxico2024 Según mi feed de X , de cada 10 votos 6 van para #Xochitl 1 para Sheinbaum y 2 anulados con consignas contra el gobierno No me importo estar desde las 7 AM en fila, aquí es el momento que las generaciones futuras recordarán bien"""
vivianaolvera977,@vivianaolv67622,13:40,"""Ya votamos los tres por Xochitl #YoYaVotéXXóchitl #XóchitlGálvezPresidenta #EleccionesMéxico2024"""
AraπCé V🎗️#freeAssangeNow 💚🇵🇸🕊️🙏,@acardnasv,13:37,"""#ClaudiaPresidentaDeMéxico2024 #NahleGobernadora #EleccionesMéxico2024 #VotaMéxico2024"""
Luis Alberto Córdova,@laec_09,13:36,"""Llevo años esperando acariciar este momento….De mandar a chingar a su madre a Morena #XochitlGálvezPresidenta #EleccionesMéxico2024"""
ohmlixyss,@Lixyss,13:36,"""#VotoPorMéxico #EleccionesMéxico2024 #XochitlGálvezPresidenta #MiVotoPorXochitl 👏👏👏💗💗💗 me emocioné 🥺🇲🇽"""
𝑪𝒉𝒂𝒓𝒍𝒊𝒆®,@flakoyosoy,13:35,"""El lado correcto de la historia #EleccionesMéxico2024 #ClaudiaArrasará #4taTransformación"""
Jérôme,@jergtn,13:35,"""Por una patria ordenada y generosa y una vida mejor y más digna para todos. ¡Por México! 🇲🇽💙 #YoVotéPorXóchitl #ElCambioViene #SíHayDeOtra #EleccionesMéxico2024"""
Pascualina Pascual,@CayePas,13:35,"""Amor con amor se paga. Gracias por todo mi cabecita de algodón 🥹🥰 #ClaudiaPresidentaDeMéxico #EleccionesMéxico2024"""
Haziel,@Haziel66567262,13:33,"""Porque como JOVEN ELLA me REPRESENTA #EleccionesMéxico2024 #YoVoteporXochitl #XochitlGálvezPresidenta24"""
Charles,@Ritchardson77,13:33,"""Emitiendo mi voto. #YoVotarePorXóchitl #XochitlGálvezPresidenta #EleccionesMéxico #PRI #PAN #cdmx #EleccionesMéxico2024"""
Oviedo,@Oviedo460643623,13:31,"""¡Los verdaderos mexicanos así votamos! 🇲🇽 @Claudiashein @lopezobrador_ #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico #VotoMasivoParaMorenaPlanC"""
RickyBrant 🇪🇸🇲🇽,@RickyBrantEs,13:31,"""Ejerciendo mi voto! 🇲🇽🗳️ Hoy participé para salvaguardar la democracia en México. ¡Cada voto cuenta! #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
