User,arroba,hora de publicación,publicación
🇮🇱Meir Palacios | מאיר פלסיוס,@MeirPalaciosFr,14:54,"""Me tocó votar por primera vez para presidente y jefe de gobierno. Quiera Dios que los próximos años sean de prosperidad para este bendito país. ¡Viva la libertad! ¡Viva la democracia! ¡Viva México! #VotaMéxico2024 #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Matrix,@Alexag171,14:59,"""En respuesta a @alvaro_delgado #ClaudiaPresidentaDeMéxico2024"""
Mariel Gutièrrez,@Marielamaga,14:59,"""En respuesta a @Xochitl2024 Soy OBRADORISTA y hoy voté TODO MORENA, empezando por #ClaudiaPresidentaDeMéxico2024"""
Paulino OL,@PaOliivee,14:59,"""En respuesta a @lopezobrador_ Lo queremos mucho presidente.Siempre será recordado como el mejor y no vamos a permitir que los corruptos regresen a destruir todo. #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #Azcapotzalco"""
Ere Flores,@ereflorsanz,14:57,"""Acá en Alcaldía Cuauhtémoc, CDMX. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 #YaVoté 🇲🇽💪🏼🗳️"""
UliGonza99,@Gonza99Uli29932,14:57,"""Hoy gana #Mexico, hoy se continúa con la #CuartaTransformación #VotaPorMéxico #VotaMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Ponce Ponce,@THebalderrama,14:56,"""Qué sea un clásico cada 6 años mandar a chingar a su padre al PRIAN-MC #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024 @catrina_nortena @NortenaCatrina"""
Jhonatan Jardines🇺🇦🇲🇽🏳️,@jhonjardines,14:56,"""#ClaudiaPresidentaDeMéxico2024 #Orgullosamentedel movimiento"""
Lynn Torres 🇲🇽,@LynnTorresCAN,14:56,"""Mi voto desde Canadá y el voto de mi hermosa madre de 75 años desde Veracruz es por @Claudiashein !! #ClaudiaPresidentaDeMéxico2024"""
ivan,@IvaneskicIvan,14:55,"""En respuesta a @AbramCalzada #PlanC_YaEstáEnMarcha #ClaudiaPresidentaDeMéxico2024"""
Ana Lila Juárez,@123Analila,14:55,"""En respuesta a @ricardo36677659 #SigamosHaciendoHistoria #ClaudiaPresidentaDeMéxico2024"""
ivan,@IvaneskicIvan,14:54,"""En respuesta a @MaxKaiser75 #ClaudiaPresidentaDeMéxico2024"""
